Id-risorsa,Tipologia-risorsa,Data-creazione,Anno-inizio,IdentificativoIRIS,Titolo,Descrizione,Sede,Durata,Data-fine,Responsabili,Partecipanti,Dipartimenti,EntiPartner-ID,Enti-Descrizione,Aree-scientifiche-coinvolte,Obbiettivi,Tipologia-coinvolgimento,Pubblici-Coinvolti,Finanziamenti-esterni,Link,Settori-Erc,SSD,Parole-chiave,Iniziative-figlieIDIRIS,Iniziative-padreIDIRIS,Centri-ricerca-collegatiIDIRIS,Progetti-collegati
15986,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,13/12/2021,2021,PEN-0015,Bambine e bambini: un giorno all'Università,Un giorno all’Università ha come obiettivo avvicinare le allieve e gli allievi della scuola primaria e dallo scorso anno della secondaria di primo grado al mondo dell’alta formazione permettendo ai partecipanti di viverla come opportunità accessibile a tutti e promuovendo la ricerca come occasione di crescita e scoperta che accompagna lungo tutto il percorso della vita.,Dipartimento di UniTo,243,31/05/2022,GALLO Giovanni,BELLUSO Elena/// FERRINI Francesco Maria/// PARUZZO FRANCESCA/// UGAZIO Elena/// MIGLIORE Sandra/// DI GAETANO Cornelia/// CAGLIERO Cecilia Lucia/// CAPECCHI Sara/// TULLIO Viviana Cristina/// CONCILIO Carmelina/// MUSSAT SARTOR ROCCO/// LONG Joelle/// MASINO Andrea/// MICHELETTI CREMASCO Margherita/// COTTONE Erika/// ULRICH Silvia/// GIORGIS Marta/// MARTIRE Luca/// BONATTI Irene/// FERRARA Francesca/// ORSO FRANCESCA/// ARDISSONO Liliana/// VALETTI Francesca/// BULGARELLI Daniela/// MARINO Anna/// GENA Cristina/// STANO Simona/// CERRATO Giuseppina,Direzione Ricerca/// SCIENZE DELLA TERRA/// SCIENZE VETERINARIE/// SCIENZA E TECNOLOGIA DEL FARMACO/// INFORMATICA/// SCIENZE DELLA SANITA' PUBBLICA E PEDIATRICHE/// LINGUE E LETTERATURE STRANIERE E CULTURE MODERNE/// SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI/// GIURISPRUDENZA/// MATEMATICA -GIUSEPPE PEANO-/// BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE/// PSICOLOGIA/// FILOSOFIA E SCIENZE DELL'EDUCAZIONE/// CHIMICA,,,,,Ascolto e dialogo,Primaria insegnanti (110)/// Primaria studenti (1260)/// Secondaria I grado insegnanti (30)/// Secondaria I grado studenti (420),0,https://www.unito.it/eventi/notte-europea-dei-ricercatori-2021,SH3_11 - Social aspects of learning curriculum studies educational policies,,,PEN-14979/// PEN-17177/// PEN-17204/// PEN-17206/// PEN-17290/// PEN-17291/// PEN-17292/// PEN-17293/// PEN-17316/// PEN-17317/// PEN-17318/// PEN-17319/// PEN-17320/// PEN-17325/// PEN-17326/// PEN-17327,,,
18285,Attività di coinvolgimento e interazione con il mondo della scuola,09/02/2022,2020,PEN-0564,Consapevolezza digitale e intelligenza artificiale,Attività didattica in classe terza. Introduzione alla tecnologia digitale con attenzione particolare ai segnali audio e video. Introduzione alla manipolazione dei dati digitali attraverso intelligenza artificiale. Discussione per maturare un maggior senso di consapevolezza nell'uso di strumenti digitali quali i social network che fanno uso di AI,,1,23/01/2020,GRANGETTO Marco,,INFORMATICA,,,,,,Secondaria I grado studenti (23),,,,,,,,,
18385,Attività di coinvolgimento e interazione con il mondo della scuola,09/02/2022,1999,PEN-0714,Bambine e bambini. Un giorno all'università  (Edizione 2019/2020),,,,,CAVAGLIA' Gabriela Maria Chiara,MASINO Andrea/// BULGARELLI Daniela/// STANCHI Silvia/// MARTIRE Luca/// MACAGNO ALESSIA/// CERRATO Giuseppina/// DI GAETANO Cornelia/// LEVI ALESSANDRA/// SOBRINO Giorgio Giuseppe/// BONATTI Irene/// FAUSONE Mara/// BRISCHETTO COSTA Tommaso Carlo/// GALLO Giovanni/// ORSO FRANCESCA/// BOVOLIN Patrizia/// MARTIN Maria/// MUSSAT SARTOR ROCCO/// MINUTELLA Vincenza/// MARINO GIAN MANUEL/// CALEF Paola/// ROANA Janira/// PENSA Ruggero Gaetano/// CONCILIO Carmelina/// STANO Simona/// GIRIBALDI Giuliana/// CHIOSSO Michela/// BOLLI ELISABETTA/// FERRARA Francesca/// GIORDANA Alessia/// LONG Joelle/// MASSARIELLO PATRIZIA/// PERETTO Paolo Marcello/// MARTINI Miriam/// MIGLIORE Sandra/// SORBINI MONICA/// BELLUSO Elena/// MORONI ALESSIA/// GENA Cristina/// RE Anna Maria/// BOSCO Cristina/// MEO Rosa/// MOLINO Alessandra/// MANDRAS Narcisa/// BIOGLIO Livio/// GIROTTI Marilena/// GIUSTETTO Ambra/// FREPPAZ Michele/// GRANDINETTI Mario/// TURCO Francesca/// ANDREO LUCA/// MOLINA Paola Fausta Maria/// MALERBA Giancarla/// NURRA Nicola/// CILLI Cristina/// LONGO Fabio/// MOIETTA Marco/// PALLANTE Francesco/// UGAZIO Elena/// VALETTI Francesca/// ULRICH Silvia/// ARDISSONO Liliana/// COTTONE Erika/// CAPECCHI Sara/// TULLIO Viviana Cristina/// MICHELETTI CREMASCO Margherita/// BOANO Rosa/// DI NOI VALENTINA/// ONESTI Cristina/// CAPELLA Silvana/// FERRARI Giulia/// PARUZZO FRANCESCA/// BONOMETTI Elisabetta/// BATTUELLO MARCO/// GARAFFO GIULIA/// CASTRIGNANO' Silvia/// IDROFANO Silvia,Area Valorizzazione Impatto e Public Engagement/// SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI/// SCIENZE DELLA SANITA' PUBBLICA E PEDIATRICHE/// INFORMATICA/// LINGUE E LETTERATURE STRANIERE E CULTURE MODERNE/// SCIENZA E TECNOLOGIA DEL FARMACO/// Sistema Museale di Ateneo/// BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE/// SCIENZE MEDICHE/// GIURISPRUDENZA/// SCIENZE DELLA TERRA/// CHIMICA/// PSICOLOGIA/// SCIENZE AGRARIE FORESTALI E ALIMENTARI/// AGRO-INNOVA/// SBA - Sistema Bibliotecario d'Ateneo/// FISICA/// MATEMATICA -GIUSEPPE PEANO-/// FILOSOFIA E SCIENZE DELL'EDUCAZIONE/// ONCOLOGIA/// INTERATENEO DI SCIENZE PROGETTO E POLITICHE DEL TERRITORIO/// MANAGEMENT -VALTER CANTINO-/// NEUROSCIENZE -RITA LEVI MONTALCINI-,,,,,,Primaria insegnanti (350)/// Primaria studenti (3500),,,,,,,,,
18453,Pubblicazioni (cartacee e digitali) dedicate al pubblico non esperto,09/02/2022,2019,PEN-0749,La ricerca si racconta su frida - 2019,dati google analytics,,360,31/12/2019,CAVAGLIA' Gabriela Maria Chiara,STANCHI Silvia/// CAIMOTTO Maria Cristina/// ORUSA TOMMASO/// NEGRI CHIARA/// FARGIONE Daniela/// PADOVAN Dario/// ASCOLI Davide/// CALANDRA Davide/// BARONETTI ALICE/// MIGLIO Gianluca/// RIVOIRA Luca/// CASTIGLIONI MICHELE/// SPAGNOLO Andrea/// CAVORETTO Roberto/// LATINI Gianni/// MORELLO Virginia/// FICARA Giorgio Luigi Maria/// SALATINO ADRIANA/// MICALIZIO Roberto/// FATIBENE Lorenzo/// TURCI Francesco/// DE ROSSI Alessandra/// BELLONE Luca/// BRUZZONITI Maria Concetta/// GROPPO Chiara Teresa/// BALLARE' SILVIA/// DESTEFANIS ELISA/// ALA Ugo/// CENA Federica/// FERRARI Attilio/// BARICCO Marcello/// LUCENTEFORTE Maurizio/// FREPPAZ Michele/// RAINOLDI Alberto/// BENEDETTO MAS PAOLO/// RICCI Raffaella Giovanna Nella/// RUBIOLO Patrizia/// RAUS Rachele/// LEONE Matteo/// DE FRANCIA Silvia/// BORRACCINO Alberto/// CURLI Barbara/// FERRAROTTI LORENZO/// CORINO Elisa/// DE PICCOLI Norma/// BOSCO Gabriella/// GAMBA Ezio/// LOZAR Francesca Maria Jolanda/// DEMARCHI Beatrice/// CONCILIO Carmelina/// GALLICE Andrea Pier Giovanni/// CRAVERO MATTIA/// GOY Annamaria/// CARRIERI ALESSANDRO/// LUSSO Enrico/// LIETO Antonio/// PAZE' Valentina/// MORELLI Umberto/// SOLERA Cristina/// BONA Francesca/// CALZA Paola/// COCI Gianluca/// CIRIO Roberto/// RUBIOLA Selene/// CAPUCCHIO Maria Teresa/// COSTAGLIOLA GIANLUCA/// BIOGLIO Livio/// CAVALLO Federica/// TURCO Federica/// POPOVIC Maja/// RICUCCI Roberta/// GHISLIERI Chiara/// MORI Maurizio/// CAIELLI Mia/// FONTANA Magda/// RONCO Daniela/// MANUELLO JORDI/// MARIELLA ELISA/// DUGLIO Stefano/// MASTROMARINO Anna/// ULRICH Silvia/// SCAGLIONE Frine Eleonora/// SANTORO VERONICA/// FERRERO Giulio/// TALARICO Melania/// BIANCIARDI CESARE/// CILLI Cristina/// LONGO Fabio/// MONTALDO Silvano/// GULLINO Maria Lodovica/// FAUSONE Mara/// CAPECCHI Sara/// RICHIARDI Lorenzo/// IMARISIO Luca/// BONFANTI Luca/// OLIVERO Paolo/// STANO Simona,Area Valorizzazione Impatto e Public Engagement/// SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI/// SCIENZE DELLA SANITA' PUBBLICA E PEDIATRICHE/// PSICOLOGIA/// LINGUE E LETTERATURE STRANIERE E CULTURE MODERNE/// STUDI UMANISTICI/// CULTURE POLITICA E SOCIETA'/// SCIENZE CLINICHE E BIOLOGICHE/// FILOSOFIA E SCIENZE DELL'EDUCAZIONE/// SCIENZA E TECNOLOGIA DEL FARMACO/// MANAGEMENT -VALTER CANTINO-/// SCIENZE DELLA TERRA/// SCIENZE AGRARIE FORESTALI E ALIMENTARI/// CHIMICA/// MATEMATICA -GIUSEPPE PEANO-/// INFORMATICA/// SCIENZE MEDICHE/// FISICA/// SCIENZE VETERINARIE/// SCIENZE ECONOMICO-SOCIALI E MATEMATICO-STATISTICHE/// ECONOMIA E STATISTICA -COGNETTI DE MARTIIS-/// GIURISPRUDENZA/// BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE/// AGRO-INNOVA/// Sistema Museale di Ateneo/// STUDI STORICI/// ONCOLOGIA,,,,,,Cittadini (16000),,,,,,,,,
18486,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-0766,Seminario Prof. Alessandro Vespignani su “Data Science Models and Forecasts” 7/11/2019,Il seminario ha visto la partecipazione di almeno 100 tra professionisti studenti e ricercatori,,1,07/11/2019,RUFFO Giancarlo Francesco,,INFORMATICA,,,,,,Cittadini (50)/// Imprese (5)/// Istituzioni ed enti locali (3),,,,,,,,,
18737,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-0691,Incontro -Agilent Technologies meets Unito-,,,1,01/07/2019,NATALE Francesca,CIRIO Roberto/// MASERA Massimo/// SACERDOTE Laura Lea/// BERGADANO Francesco/// ALDINUCCI Marco/// ZUCCA Cristina/// CORDERO Chiara Emilia Irma/// BICCHI Carlo/// VERCELLIN Ermanno/// AIME Silvio/// FORNO Silvia,Direzione Ricerca/// BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE/// INFORMATICA/// FISICA/// SCIENZA E TECNOLOGIA DEL FARMACO/// MATEMATICA -GIUSEPPE PEANO-,,,,,,Imprese (1),,,,,,,,,
18950,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-0534,Treevial. Sicuri di sapere tutto sulla sostenibilità?,http://agorascienza.it/index.php/it/i-progetti/treevial/2019,,1,26/09/2019,CAVAGLIA' Gabriela Maria Chiara,DE PICCOLI Norma/// CRAVERO MATTIA/// CROCELLA' Valentina/// CORTESE Damiano/// MARTINI Mara/// COTTONE Erika/// CORAZZA Laura/// GABUSI Giuseppe/// CORINO Elisa/// LOERA Barbara Lucia/// CAIMOTTO Maria Cristina/// MANERA MANUELA/// DE BORTOLI Andrea Maurilio/// CONCILIO Carmelina/// DE ROSA DALILA/// FLORES Maria/// CAFFARENA Anna/// GREGIS ANNA/// FORNARO Giulia Alice/// CAPELLARO Sara/// SCELFO Francesco/// NEGRI CHIARA/// ORUSA TOMMASO/// MARCHISIO CONTE Marina/// MAZZOLI Roberto/// GENRE Andrea/// MAGNACCA Giuliana/// FEDI Angela/// GATTINO Silvia/// FALASCO Elisa/// PULVIRENTI MARTA/// FAVARO Enrica/// CHIAVAZZA Paola Maria/// FISSORE CECILIA/// EVOLA ROSALIA STELLA/// SOZZO SARA/// STANCHI Silvia/// SAPINO Roberta/// SCIASCIA Savino/// QUARTA Alessandra/// RICCHIARDI Gabriele/// PIOVANO ALESSANDRO/// PORCELLANA Valentina/// PENNA Tullia/// PETTENATI Giacomo/// PEANO Cristiana/// BUSSO Sandro/// BOVOLIN Patrizia/// BONA Francesca/// BOELLA Guido/// BARBERA Filippo/// BOCCIA Gennaro/// BERTOLINI Sonia/// BECHIS Stefano/// BARICCO Marcello/// LAVECCHIA Dunja/// GALLO Giovanni/// VESCE Enrica/// VESCO Antonio/// VALETTI Francesca/// VENTURINI Alessandra/// TRINCHERO Cristina/// UGAZIO Elena/// TECCO Nadia/// TOLDO Alessia,Area Valorizzazione Impatto e Public Engagement/// CULTURE POLITICA E SOCIETA'/// CHIMICA/// INTERATENEO DI SCIENZE PROGETTO E POLITICHE DEL TERRITORIO/// SCIENZE MEDICHE/// INFORMATICA/// SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI/// LINGUE E LETTERATURE STRANIERE E CULTURE MODERNE/// MANAGEMENT -VALTER CANTINO-/// STUDI UMANISTICI/// PSICOLOGIA/// BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE/// SCIENZE AGRARIE FORESTALI E ALIMENTARI/// GIURISPRUDENZA/// FILOSOFIA E SCIENZE DELL'EDUCAZIONE/// SCIENZE CLINICHE E BIOLOGICHE/// Direzione Sicurezza Patrimonio e Facility Management/// SCIENZA E TECNOLOGIA DEL FARMACO/// ECONOMIA E STATISTICA -COGNETTI DE MARTIIS-,,,,,,Cittadini (200),,,,,,,,,
18951,Organizzazione di concerti spettacoli teatrali rassegne cinematografiche eventi sportivi mostre esposizioni e altri eventi di pubblica utilità aperti alla comunità,09/02/2022,2019,PEN-0535,Pionieri - esploratori dell'ignoto da Leonardo ai nostri giorni,,,43,18/06/2019,FLORES Maria,DESTEFANIS ELISA/// DE IACOVO Valentina/// DEMARCHI Beatrice/// CRAVERO MATTIA/// DALL'IGNA Antonio/// DE FRANCIA Silvia/// COSTA Marco/// MICHELETTI CREMASCO Margherita/// COSTAGLIOLA GIANLUCA/// GIUSTETTO Ambra/// CIRIO Roberto/// DAL MONTE Olga/// DE BORTOLI Andrea Maurilio/// CONCILIO Carmelina/// MORONI BARBARA/// CASSARDO Claudio/// CARRIERI ALESSANDRO/// DI NUOVO ELISA/// CUOZZO Gianluca/// PALAZZI Elisa/// SCELFO Francesco/// LUSSO Enrico/// MACAGNO MARCO/// JAWORSKI Krystyna Roza/// LUPARIA Paolo Andrea/// GAMBINO FRANCESCA/// IVALDI MARCO/// GALLICE Andrea Pier Giovanni/// GAMBA Ezio/// DUGLIO Stefano/// FREPPAZ Michele/// RUBIOLA Selene/// ROATTA Silvestro/// ROMANO Antonio/// REI Matteo/// RICCI Raffaella Giovanna Nella/// PENNA Tullia/// PENNACINI Cecilia/// MORETTI Viviana/// PELLIZZARI Patrizia/// MARTINI Miriam/// CAPUCCHIO Maria Teresa/// CAMERA Stefano/// BOSCO Cristina/// BOSCO Gabriella/// ALA Ugo/// BONATO Laura/// BIFONE Angelo/// BELLAN Riccardo/// BARICCO Marcello/// CAPELLARO Sara/// FORNARO Giulia Alice/// GALLO Giovanni/// CAVAGLIA' Gabriela Maria Chiara/// DINO Alessia/// LAVECCHIA Dunja/// ULRICH Silvia/// ZOLA Lia Emilia/// SAPINO Roberta/// UGAZIO Elena,Area Valorizzazione Impatto e Public Engagement/// SCIENZE VETERINARIE/// CHIMICA/// FISICA/// BIOTECNOLOGIE MOLECOLARI E SCIENZE PER LA SALUTE/// LINGUE E LETTERATURE STRANIERE E CULTURE MODERNE/// INFORMATICA/// FILOSOFIA E SCIENZE DELL'EDUCAZIONE/// STUDI UMANISTICI/// SCIENZE CLINICHE E BIOLOGICHE/// SCIENZE DELLA VITA E BIOLOGIA DEI SISTEMI/// MANAGEMENT -VALTER CANTINO-/// SCIENZE AGRARIE FORESTALI E ALIMENTARI/// SCIENZE ECONOMICO-SOCIALI E MATEMATICO-STATISTICHE/// SCIENZE DELLA TERRA/// GIURISPRUDENZA/// CULTURE POLITICA E SOCIETA'/// PSICOLOGIA/// NEUROSCIENZE -RITA LEVI MONTALCINI-/// SCIENZA E TECNOLOGIA DEL FARMACO,,,,,,Cittadini (16000),,https://www.unito.it/ateneo/gli-speciali/leonardo-da-vinci-disegnare-il-futuro/// http://www.agorascienza.it/index.php/it/i-progetti/pionieri/2019,,,,,,,
19125,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1095,World Usability Day Università di Torino - evento,ingressi registrati presso la sede dell'evento,,1,14/11/2019,MATTUTINO Claudio,RAPP Amon/// SOCCINI Agata Marta/// VERNERO Fabiana/// GENA Cristina/// CENA Federica/// GRIMALDI Renato/// BRUSCHI Barbara/// CONSOLE Luca/// CAPECCHI Sara,INFORMATICA/// FILOSOFIA E SCIENZE DELL'EDUCAZIONE,,,,,,Cittadini (300),,,,,,,,,
19127,Organizzazione di iniziative di valorizzazione consultazione e condivisione della ricerca,09/02/2022,2019,PEN-1096,convegno -Etica e servizi per l’autismo e la disabilità in età adulta-,,,1,15/11/2019,MATTUTINO Claudio,CENA Federica,INFORMATICA,,,,,,Categorie speciali o svantaggiate (es. media professionisti DSA disabili disoccupati immigrati carcerati …) (50)/// Cittadini (50),,,,,,,,,
