faiss_id,entity,label,type
0,reo:virtual-electronic-poem,Virtual-Electronic-Poem,soa:Keyword
1,reo:computer-networks,Computer-Networks,soa:Keyword
2,reo:language,language,soa:Keyword
3,reo:web-application,Web-application,soa:Keyword
4,reo:holistic-awareness-information-management,holistic-awareness-information-management,soa:Keyword
5,reo:quantitative-methods,Quantitative-Methods,soa:Keyword
6,reo:tourist-web-systems,Tourist-Web-Systems,soa:Keyword
7,reo:powerjava,powerjava,soa:Keyword
8,reo:preferred-diagnoses,preferred-diagnoses,soa:Keyword
9,reo:stable-domains,Stable-domains,soa:Keyword
10,reo:digital-rights,digital-rights,soa:Keyword
11,reo:intelligent-user-interfaces,intelligent-user-interfaces,soa:Keyword
12,reo:distributed-software,Distributed-software,soa:Keyword
13,reo:individual-authentication,Individual-authentication,soa:Keyword
14,reo:high-level-programming,high-level-programming,soa:Keyword
15,reo:space-exploration,Space-exploration,soa:Keyword
16,reo:medical--diagnosis,medical--diagnosis,soa:Keyword
17,reo:multiprocessor,Multiprocessor,soa:Keyword
18,reo:cooperative-agents,cooperative-agents,soa:Keyword
19,reo:peer-to-peer-communities,Peer-to-peer-communities,soa:Keyword
20,reo:cloud-storage-availability-confidentiality-integrity-performance-rateless-codes,Cloud-storage-availability-confidentiality-integrity-performance-rateless-codes,soa:Keyword
21,reo:queuing-networks,Queuing-networks,soa:Keyword
22,reo:principal-typing,Principal-Typing,soa:Keyword
23,reo:markov-chain,Markov-chain,soa:Keyword
24,reo:mean-value-analysis,mean-value-analysis,soa:Keyword
25,reo:reasoningwith-incomplete-knowledge,reasoningwith-incomplete-knowledge,soa:Keyword
26,reo:on-line-diagnosis,on-line-diagnosis,soa:Keyword
27,reo:performance-evaluation,Performance-Evaluation,soa:Keyword
28,reo:inheritance,Inheritance,soa:Keyword
29,reo:data-warehouses,Data-warehouses,soa:Keyword
30,reo:special-purpose-languages,Special-Purpose-Languages,soa:Keyword
31,reo:graph-partitioning,graph-partitioning,soa:Keyword
32,reo:automated-reasoning,automated-reasoning,soa:Keyword
33,reo:wavefront-parallelism,wavefront-parallelism,soa:Keyword
34,reo:graph-rewriting,graph-rewriting,soa:Keyword
35,reo:multiprocessor-interconnection-networks,multiprocessor-interconnection-networks,soa:Keyword
36,reo:simulation,simulation,soa:Keyword
37,reo:social-media,social-media,soa:Keyword
38,reo:many-core,many-core,soa:Keyword
