faiss_id,entity,label,type
0,reo:3d-structures,3D-structures,https://semopenalex.org/ontology/Keyword
1,reo:aalen-johansen-estimators,Aalen-Johansen-estimators,https://semopenalex.org/ontology/Keyword
2,reo:abduction-through-deduction,abduction-through-deduction,https://semopenalex.org/ontology/Keyword
3,reo:abductive-reasoning,Abductive-reasoning,https://semopenalex.org/ontology/Keyword
4,reo:abr,ABR,https://semopenalex.org/ontology/Keyword
5,reo:abstract-mathematics,abstract-mathematics,https://semopenalex.org/ontology/Keyword
6,reo:abstract-schema,abstract-schema,https://semopenalex.org/ontology/Keyword
7,reo:abstraction,Abstraction,https://semopenalex.org/ontology/Keyword
8,reo:accelerator,accelerator,https://semopenalex.org/ontology/Keyword
9,reo:access-control-models,access-control-models,https://semopenalex.org/ontology/Keyword
10,reo:action-execution,action-execution,https://semopenalex.org/ontology/Keyword
11,reo:ad-hoc-networks,ad-hoc-networks,https://semopenalex.org/ontology/Keyword
12,reo:adaptable-code,adaptable-code,https://semopenalex.org/ontology/Keyword
13,reo:adaptation,Adaptation,https://semopenalex.org/ontology/Keyword
14,reo:adaptive-applications,adaptive-applications,https://semopenalex.org/ontology/Keyword
15,reo:adaptive-configuration,Adaptive-configuration,https://semopenalex.org/ontology/Keyword
16,reo:adaptive-hypermedia,Adaptive-Hypermedia,https://semopenalex.org/ontology/Keyword
17,reo:adaptive-hypermedia-systems,Adaptive-Hypermedia-Systems,https://semopenalex.org/ontology/Keyword
18,reo:adaptive-news-servers,adaptive-news-servers,https://semopenalex.org/ontology/Keyword
19,reo:adaptive-systems,Adaptive-systems,https://semopenalex.org/ontology/Keyword
20,reo:adaptive-web,adaptive-web,https://semopenalex.org/ontology/Keyword
21,reo:adaptive-web-catalogs,adaptive-web-catalogs,https://semopenalex.org/ontology/Keyword
22,reo:adaptive-web-pages,Adaptive-Web-Pages,https://semopenalex.org/ontology/Keyword
23,reo:adaptive-web-sites,Adaptive-web-sites,https://semopenalex.org/ontology/Keyword
24,reo:adaptive-web-stores,adaptive-Web-stores,https://semopenalex.org/ontology/Keyword
25,reo:adaptive-web-systems,Adaptive-Web-Systems,https://semopenalex.org/ontology/Keyword
26,reo:adaptivity,Adaptivity,https://semopenalex.org/ontology/Keyword
27,reo:addressing,Addressing,https://semopenalex.org/ontology/Keyword
28,reo:agent-communication,agent-communication,https://semopenalex.org/ontology/Keyword
29,reo:agent-cooperation,Agent-cooperation,https://semopenalex.org/ontology/Keyword
30,reo:agent-interaction,agent-interaction,https://semopenalex.org/ontology/Keyword
31,reo:agent-models,Agent-Models,https://semopenalex.org/ontology/Keyword
32,reo:agent-systems,Agent-Systems,https://semopenalex.org/ontology/Keyword
33,reo:agenti-intelligenti,Agenti-intelligenti,https://semopenalex.org/ontology/Keyword
34,reo:agents,Agents,https://semopenalex.org/ontology/Keyword
35,reo:agents-in-telecommunication-management,Agents-in-Telecommunication-Management,https://semopenalex.org/ontology/Keyword
36,reo:aggregation,Aggregation,https://semopenalex.org/ontology/Keyword
37,reo:alberi-di-boehm,alberi-di-Boehm,https://semopenalex.org/ontology/Keyword
38,reo:algorithmic-composition,algorithmic-composition,https://semopenalex.org/ontology/Keyword
39,reo:algorithmic-skeleton,algorithmic-skeleton,https://semopenalex.org/ontology/Keyword
40,reo:algorithmic-skeletons,Algorithmic-skeletons,https://semopenalex.org/ontology/Keyword
41,reo:algorithmic-skeletons-cost-models-data-parallelism-parallel-design-patterns-refactoring,algorithmic-skeletons-cost-models-data-parallelism-parallel-design-patterns-refactoring,https://semopenalex.org/ontology/Keyword
42,reo:algorithmical-skeletons,Algorithmical-skeletons,https://semopenalex.org/ontology/Keyword
43,reo:algoritmical-skeletons,algoritmical-skeletons,https://semopenalex.org/ontology/Keyword
44,reo:alias-type,alias-type,https://semopenalex.org/ontology/Keyword
45,reo:ambiguity,Ambiguity,https://semopenalex.org/ontology/Keyword
46,reo:analisi-dei-ritmi-di-battitura,Analisi-dei-ritmi-di-battitura,https://semopenalex.org/ontology/Keyword
47,reo:analytical-methods,Analytical-methods,https://semopenalex.org/ontology/Keyword
48,reo:analytical-model,Analytical-model,https://semopenalex.org/ontology/Keyword
49,reo:analytical-modeling,Analytical-modeling,https://semopenalex.org/ontology/Keyword
50,reo:analytical-models,Analytical-models,https://semopenalex.org/ontology/Keyword
51,reo:angiogenesis,Angiogenesis,https://semopenalex.org/ontology/Keyword
52,reo:annotation,annotation,https://semopenalex.org/ontology/Keyword
53,reo:annotation-schema,annotation-schema,https://semopenalex.org/ontology/Keyword
54,reo:answer-set-programming,answer-set-programming,https://semopenalex.org/ontology/Keyword
55,reo:apache,Apache,https://semopenalex.org/ontology/Keyword
56,reo:application-manager,application-manager,https://semopenalex.org/ontology/Keyword
57,reo:application-programs-functional-programs-logical-frameworks-program-analysis-program-properties-program-specialization-simply-typed-lambda-calculus-type-inferences-type-structures,Application-programs-Functional-programs-Logical-frameworks-Program-analysis-Program-properties-Program-specialization-Simply-typed-lambda-calculus-Type-inferences-Type-structures,https://semopenalex.org/ontology/Keyword
58,reo:applications,applications,https://semopenalex.org/ontology/Keyword
59,reo:applicazioni-web-personalizzate,Applicazioni-Web-personalizzate,https://semopenalex.org/ontology/Keyword
60,reo:approximate-analysis,Approximate-Analysis,https://semopenalex.org/ontology/Keyword
61,reo:approximate-mean-value-analysis-algorithm,Approximate-Mean-Value-Analysis-Algorithm,https://semopenalex.org/ontology/Keyword
62,reo:approximate-reasoning,approximate-reasoning,https://semopenalex.org/ontology/Keyword
63,reo:approximate-solution,Approximate-solution,https://semopenalex.org/ontology/Keyword
64,reo:approximate-solutions,Approximate-solutions,https://semopenalex.org/ontology/Keyword
65,reo:approximation,Approximation,https://semopenalex.org/ontology/Keyword
66,reo:approximation-methods,Approximation-methods,https://semopenalex.org/ontology/Keyword
67,reo:approximations,Approximations,https://semopenalex.org/ontology/Keyword
68,reo:arrival-theorem,Arrival-theorem,https://semopenalex.org/ontology/Keyword
69,reo:artificial-intelligence,Artificial-Intelligence,https://semopenalex.org/ontology/Keyword
70,reo:artificila-intelligence,Artificila-Intelligence,https://semopenalex.org/ontology/Keyword
71,reo:assist,ASSIST,https://semopenalex.org/ontology/Keyword
72,reo:assist-environment,ASSIST-environment,https://semopenalex.org/ontology/Keyword
73,reo:association-rules,Association-rules,https://semopenalex.org/ontology/Keyword
74,reo:association-rules---data-mining-and-relational-databases,association-rules---data-mining-and-relational-databases,https://semopenalex.org/ontology/Keyword
75,reo:associative-classifiers,associative-classifiers,https://semopenalex.org/ontology/Keyword
