faiss_id,entity,label,type
0,reo:100700-organization,CABOSSE NATURALS N.V.,org:Organization
1,reo:119500-organization,ESSRG KFT,org:Organization
2,reo:119700-organization,Federal University of Viçosa,org:Organization
3,reo:120500-organization,FONDAZIONE PEZCOLLER,org:Organization
4,reo:120700-organization,Fit3D Inc,org:Organization
5,reo:120900-organization,Pompiers de l'Urgence Internationale,org:Organization
6,reo:121400-organization,BIOTT SAS,org:Organization
7,reo:122100-organization,NetMake Soluções em Informática Ltda,org:Organization
8,reo:122300-organization,LXREPAIR SAS,org:Organization
9,reo:122500-organization,Wiefferink B.V,org:Organization
10,reo:123200-organization,TECNOFFICE SNC,org:Organization
11,reo:123600-organization,RAPPRESENTA.TO (Tealdi Jacopo),org:Organization
12,reo:126000-organization,ANIMAL FARM S.R.L.,org:Organization
13,reo:126300-organization,Università Telematica LEONARDO da VINCI,org:Organization
14,reo:129400-organization,ASSOCIAZIONE UNITI PER LA SALUTE ODV,org:Organization
15,reo:136900-organization,REVOLVE,org:Organization
16,reo:137200-organization,Associazione Italiana Financial Industry Risk Managers,org:Organization
17,reo:137300-organization,ANGAISA s.r.l.,org:Organization
18,reo:137500-organization,CHUBB EUROPEAN GROUP SE,org:Organization
19,reo:138500-organization,LP OFFICE SRLS,org:Organization
20,reo:139200-organization,QUBI ASSOCIAZIONE CULTURALE,org:Organization
21,reo:139400-organization,ALPHA INSPIRATION GMBH,org:Organization
22,reo:145300-organization,MEC & PARTNERS S.R.L.,org:Organization
23,reo:146300-organization,Fondazione Nilde Iotti,org:Organization
24,reo:148100-organization,I.C.CASELLE TORINESE,org:Organization
25,reo:148400-organization,REGESTA.EXE.SRL,org:Organization
26,reo:148700-organization,ORTHOPLUS SAS,org:Organization
27,reo:149100-organization,Comune di Anagni,org:Organization
28,reo:149600-organization,Centre de la Propietat Forestal,org:Organization
29,reo:149900-organization,NOMENTANA CAVE SRL,org:Organization
30,reo:150900-organization,RETE SEMI RURALI (RSR),org:Organization
31,reo:151200-organization,I.C. VOLVERA,org:Organization
32,reo:151300-organization,Dipartimento di Epidemiologia del S.S.R.- ASL Roma1 Regione Lazio,org:Organization
33,reo:152400-organization,Ministero della Cultura,org:Organization
34,reo:152700-organization,I. C. VALPERGA,org:Organization
35,reo:153000-organization,UNIWERSYTET WROCŁAWSKI,org:Organization
36,reo:160400-organization,CARTHUSIA EDIZIONI SRL,org:Organization
37,reo:163800-organization,Stichting Radboud Universitair Medisch Centrum (RADBOUDUMC),org:Organization
38,reo:165200-organization,NANNETTI SRL,org:Organization
39,reo:167300-organization,INDUSTRIA FARMACEUTICA GALENICA SENESE SRL,org:Organization
40,reo:174100-organization,DR. ALEXANDER MEJSTRIK,org:Organization
41,reo:177200-organization,SAF España,org:Organization
42,reo:194800-organization,MIMEC S.R.L.,org:Organization
43,reo:195700-organization,APRFLYTECH STORE SRL,org:Organization
44,reo:196400-organization,Città Metropolitana di Torino,org:Organization
45,reo:200100-organization,UNIVERSITAETSMEDIZIN DER JOHANNES GUTENBERG-UNIVERSITAET MAINZ,org:Organization
46,reo:200500-organization,DITTA INDIVIDUALE DI,org:Organization
47,reo:200600-organization,INDAM LABORATORI SRL,org:Organization
48,reo:200700-organization,SENSO DEVICES INC.,org:Organization
49,reo:200800-organization,3D INFORMATICA DEL DOTT. DUCA DANILO,org:Organization
50,reo:200900-organization,Studio Notarile Trotta - Notaio Antonio Trotta,org:Organization
51,reo:201000-organization,TIPOGRAFIA GALLI DI,org:Organization
52,reo:212800-organization,Fliki (Nine Thirty Five LLC.),org:Organization
53,reo:248800-organization,Farmatutela Società tra Avvocati S R.L,org:Organization
54,reo:250800-organization,AZIENDA SERVIZI IGIENE AMBIENTALE (ASIA) BENEVENTO SPA,org:Organization
55,reo:71440-organization,UNITO TEST,org:Organization
56,reo:71441-organization,Ente Finanziatore,org:Organization
57,reo:71442-organization,Partner,org:Organization
58,reo:73238-organization,ATENEO,org:Organization
59,reo:73239-organization,Istituto Nazionale di Oceanografia e di Geofisica Sperimentale,org:Organization
60,reo:73240-organization,Università degli Studi di Enna Kore,org:Organization
61,reo:73241-organization,Università Telematica Pegaso,org:Organization
62,reo:73242-organization,Università Telematica UNITELMA Sapienza,org:Organization
63,reo:73243-organization,DITTA INDIVIDUALE DI,org:Organization
64,reo:73244-organization,FARMACIA DEGLI STEMMI di,org:Organization
65,reo:73245-organization,IMT Alti Studi Lucca,org:Organization
66,reo:73246-organization,Università degli Studi Niccolò Cusano - Telematica Roma,org:Organization
67,reo:73247-organization,Università degli Studi EUROPEA di ROMA,org:Organization
68,reo:73248-organization,Università Telematica GUGLIELMO MARCONI,org:Organization
69,reo:73249-organization,Università Telematica Universitas MERCATORUM,org:Organization
70,reo:73250-organization,Università degli Studi e-Campus,org:Organization
71,reo:73251-organization,DIVERSI,org:Organization
72,reo:73252-organization,SOGGETTO OCCASIONALE,org:Organization
73,reo:73253-organization,SEGESTA GESTIONI S.R.L.,org:Organization
74,reo:73254-organization,TELECOM ITALIA DIGITAL SOLUTION SPA,org:Organization
75,reo:73255-organization,BioMan S.r.l.,org:Organization
76,reo:73256-organization,SOCIETA' AGRICOLA LA CEREA DI PANERO ERMANNO,org:Organization
77,reo:73257-organization,STAR7 S.P.A.,org:Organization
78,reo:73258-organization,DENDROTEC SRL,org:Organization
79,reo:73259-organization,AMERICAN SOCIETY FOR ENOLOGY AND VITICULTURE,org:Organization
80,reo:73260-organization,AMERICAN SOCIETY FOR ENOLOGY AND VITICULTURE P.O. BOX 1855,org:Organization
81,reo:73261-organization,R&M IMPRESA SERVIZI SAS,org:Organization
82,reo:73262-organization,R&M IMPRESA SERVIZI SAS SEDE OPERATIVA,org:Organization
