faiss_id,entity,label,type
0,reo:abate-daga-federico,ABATE DAGA FEDERICO,foaf:Person
1,reo:abbadessa-giuliana,ABBADESSA Giuliana,foaf:Person
2,reo:abdala-moreira-karina-astrid,ABDALA MOREIRA KARINA ASTRID,foaf:Person
3,reo:abollino-ornella,ABOLLINO Ornella,foaf:Person
4,reo:abrardo-a,ABRARDO-A,foaf:Person
5,reo:abrescia-chiara,ABRESCIA Chiara,foaf:Person
6,reo:abu-hanife-mohammad,ABU HANIFE MOHAMMAD,foaf:Person
7,reo:accardo-daniele,ACCARDO Daniele,foaf:Person
8,reo:accornero-paolo,ACCORNERO Paolo,foaf:Person
9,reo:acotto-francesca,ACOTTO FRANCESCA,foaf:Person
10,reo:acquaotta-fiorella,ACQUAOTTA Fiorella,foaf:Person
11,reo:adali-s,ADALI-S,foaf:Person
12,reo:adamo-pietro,ADAMO Pietro,foaf:Person
13,reo:adinolfi-pierangela,ADINOLFI Pierangela,foaf:Person
14,reo:adorni-daniela,ADORNI Daniela,foaf:Person
15,reo:agliassa-chiara,AGLIASSA CHIARA,foaf:Person
16,reo:agnella-costanza,AGNELLA COSTANZA,foaf:Person
17,reo:agnese-vellar,Agnese-Vellar,foaf:Person
18,reo:agostino-angelo,AGOSTINO Angelo,foaf:Person
19,reo:agostoni-alberto,AGOSTONI ALBERTO,foaf:Person
20,reo:ahmetovic-dragan,AHMETOVIC Dragan,foaf:Person
21,reo:aime-silvio,AIME Silvio,foaf:Person
22,reo:airi-alessia,AIRI ALESSIA,foaf:Person
23,reo:ajani-gianmaria-federico,AJANI Gianmaria Federico,foaf:Person
24,reo:ajmome-marsan-m,AJMOME-MARSAN-M,foaf:Person
25,reo:ajmone-marsan-m,AJMONE-MARSAN-M,foaf:Person
26,reo:ala-ugo,ALA Ugo,foaf:Person
27,reo:albano-camilla,ALBANO CAMILLA,foaf:Person
28,reo:albano-norberto,ALBANO Norberto,foaf:Person
29,reo:albera-roberto,ALBERA Roberto,foaf:Person
30,reo:albert-giacomo,ALBERT Giacomo,foaf:Person
31,reo:alberti-diego,ALBERTI Diego,foaf:Person
32,reo:alberto-ceselli,Alberto-Ceselli,foaf:Person
33,reo:alberto-lavelli,Alberto-LAVELLI,foaf:Person
34,reo:albesano-d,ALBESANO-D,foaf:Person
35,reo:albini-monica,ALBINI Monica,foaf:Person
36,reo:aldieri-elisabetta,ALDIERI Elisabetta,foaf:Person
37,reo:aldinucci-marco,ALDINUCCI Marco,foaf:Person
38,reo:alecci-gessica,ALECCI GESSICA,foaf:Person
39,reo:alessandro-basso,Alessandro-Basso,foaf:Person
40,reo:alessandro-garcea,ALESSANDRO-GARCEA,foaf:Person
41,reo:alessandro-gervaso,Alessandro-Gervaso,foaf:Person
42,reo:alessandro-mazzei,Alessandro MAZZEI,foaf:Person
43,reo:alessandro-petrocelli,Alessandro-Petrocelli,foaf:Person
44,reo:alessandro-ricci,Alessandro-Ricci,foaf:Person
45,reo:alessio-e,ALESSIO-E,foaf:Person
46,reo:alexander-bolotov,Alexander-Bolotov,foaf:Person
47,reo:alfiero-simona,ALFIERO Simona,foaf:Person
48,reo:algostino-alessandra,ALGOSTINO Alessandra,foaf:Person
49,reo:alladio-eugenio,ALLADIO Eugenio,foaf:Person
50,reo:allasia-clara,ALLASIA Clara,foaf:Person
51,reo:allegra-sarah,ALLEGRA Sarah,foaf:Person
52,reo:allegretti-veronica,ALLEGRETTI VERONICA,foaf:Person
53,reo:allegri-perla-arianna,ALLEGRI PERLA ARIANNA,foaf:Person
54,reo:allizond-valeria,ALLIZOND Valeria,foaf:Person
55,reo:alma-alberto,ALMA Alberto,foaf:Person
56,reo:alonge-andrea,ALONGE Andrea,foaf:Person
57,reo:alovisio-silvio,ALOVISIO Silvio,foaf:Person
58,reo:altri,altri,foaf:Person
59,reo:altruda-fiorella,ALTRUDA Fiorella,foaf:Person
60,reo:amaducci-alessandro,AMADUCCI Alessandro,foaf:Person
61,reo:amantea-ilaria-angela,AMANTEA ILARIA ANGELA,foaf:Person
62,reo:ambrogio-chiara,AMBROGIO Chiara,foaf:Person
63,reo:amparore-elvio-gilberto,AMPARORE Elvio Gilberto,foaf:Person
64,reo:anda-radulescu,ANDA-RADULESCU,foaf:Person
65,reo:andornino-giovanni-battista,ANDORNINO Giovanni Battista,foaf:Person
66,reo:andorno-cecilia--maria,ANDORNO Cecilia  Maria,foaf:Person
67,reo:andras-horvath,Andras HORVATH,foaf:Person
68,reo:andrea-mugnaini,Andrea-Mugnaini,foaf:Person
69,reo:andrea-paternesi,Andrea-Paternesi,foaf:Person
70,reo:andrea-toso,ANDREA-TOSO,foaf:Person
71,reo:andrea-valle,Andrea-Valle,foaf:Person
72,reo:andreo-luca,ANDREO LUCA,foaf:Person
73,reo:andrew-philpott,Andrew-Philpott,foaf:Person
74,reo:anfossi-laura,ANFOSSI Laura,foaf:Person
75,reo:angeli-matteo,ANGELI MATTEO,foaf:Person
76,reo:angelo-troina,Angelo-Troina,foaf:Person
77,reo:angioni-alessia,ANGIONI Alessia,foaf:Person
78,reo:anglani-alessandro,ANGLANI ALESSANDRO,foaf:Person
79,reo:anna-goy,ANNA-GOY,foaf:Person
80,reo:anna-maria-bruno,Anna-Maria-Bruno,foaf:Person
81,reo:anne-benoit,Anne-Benoit,foaf:Person
82,reo:anselma-luca,ANSELMA Luca,foaf:Person
83,reo:anselmi-francesca,ANSELMI Francesca,foaf:Person
84,reo:anselmino-m,ANSELMINO-M,foaf:Person
85,reo:anselmino-matteo,ANSELMINO Matteo,foaf:Person
86,reo:antelmi-alessia,ANTELMI Alessia,foaf:Person
87,reo:antenucci-achille,ANTENUCCI Achille,foaf:Person
88,reo:antonelli-f,ANTONELLI-F,foaf:Person
89,reo:antonello-giacomo,ANTONELLO GIACOMO,foaf:Person
90,reo:antonio-conejo,Antonio-Conejo,foaf:Person
91,reo:antonio-pizzo,ANTONIO-PIZZO,foaf:Person
92,reo:aparicio-fenoll-ainoa,APARICIO FENOLL Ainoa,foaf:Person
93,reo:aprato-alessandro,APRATO Alessandro,foaf:Person
94,reo:arace-angelica,ARACE Angelica,foaf:Person
95,reo:archibald-james,ARCHIBALD JAMES,foaf:Person
96,reo:ardissono-l,ARDISSONO-L,foaf:Person
97,reo:ardissono-liliana,ARDISSONO Liliana,foaf:Person
98,reo:arduino-irene,ARDUINO IRENE,foaf:Person
99,reo:arena-francesca,ARENA FRANCESCA,foaf:Person
100,reo:arena-sabrina,ARENA Sabrina,foaf:Person
101,reo:arias-junior-alexandre,ARIAS JUNIOR Alexandre,foaf:Person
102,reo:aringhieri-roberto,ARINGHIERI Roberto,foaf:Person
103,reo:arkhipova-daria,ARKHIPOVA DARIA,foaf:Person
104,reo:armando-elisa,ARMANDO Elisa,foaf:Person
105,reo:armano-tiziana,ARMANO Tiziana,foaf:Person
