faiss_id,entity,label,type
0,reo:torta-gianluca,Gianluca TORTA,foaf:Person
1,reo:sproston-jeremy-james,Jeremy-James SPROSTON,foaf:Person
2,reo:capecchi-sara,Sara CAPECCHI,foaf:Person
3,reo:bracciali-andrea,Andrea BRACCIALI,foaf:Person
4,reo:bosco-cristina,Cristina BOSCO,foaf:Person
5,reo:gliozzi-valentina,Valentina GLIOZZI,foaf:Person
6,reo:bini-enrico,Enrico BINI,foaf:Person
7,reo:mensa-enrico,Enrico MENSA,foaf:Person
8,reo:grangetto-marco,Marco GRANGETTO,foaf:Person
9,reo:medic-doriana,Doriana MEDIC,foaf:Person
10,reo:fiandrotti-attilio,Attilio FIANDROTTI,foaf:Person
11,reo:basile-valerio,Valerio BASILE,foaf:Person
12,reo:sereno-matteo,Matteo SERENO,foaf:Person
13,reo:quattrone-giovanni,Giovanni QUATTRONE,foaf:Person
14,reo:soccini-agata-marta,Agata-Marta SOCCINI,foaf:Person
15,reo:patti-viviana,Viviana PATTI,foaf:Person
16,reo:drago-idilio,Idilio DRAGO,foaf:Person
17,reo:bioglio-valerio,Valerio BIOGLIO,foaf:Person
18,reo:cavagnino-davide,Davide CAVAGNINO,foaf:Person
19,reo:console-luca,Luca CONSOLE,foaf:Person
20,reo:gena-cristina,Cristina GENA,foaf:Person
21,reo:damiano-rossana,Rossana DAMIANO,foaf:Person
22,reo:castagno-paolo,Paolo CASTAGNO,foaf:Person
23,reo:ciravegna-fabio,Fabio CIRAVEGNA,foaf:Person
24,reo:pensa-ruggero-gaetano,Ruggero-Gaetano PENSA,foaf:Person
25,reo:picardi-claudia,Claudia PICARDI,foaf:Person
26,reo:di-caro-luigi,Luigi DI-CARO,foaf:Person
27,reo:boella-guido,Guido BOELLA,foaf:Person
28,reo:lombardo-vincenzo,Vincenzo LOMBARDO,foaf:Person
29,reo:meo-rosa,Rosa MEO,foaf:Person
30,reo:horvath-andras,Andras HORVATH,foaf:Person
31,reo:segnan-marino,Marino SEGNAN,foaf:Person
32,reo:beccuti-marco,Marco BECCUTI,foaf:Person
33,reo:micalizio-roberto,Roberto MICALIZIO,foaf:Person
34,reo:donatelli-susanna,Susanna DONATELLI,foaf:Person
35,reo:de-pierro-massimiliano,Massimiliano DE-PIERRO,foaf:Person
36,reo:bono-viviana,Viviana BONO,foaf:Person
37,reo:lucenteforte-maurizio,Maurizio LUCENTEFORTE,foaf:Person
38,reo:bocca-garetto-michele-paolo,Michele-Paolo BOCCA-GARETTO,foaf:Person
39,reo:bergadano-francesco,Francesco BERGADANO,foaf:Person
40,reo:anselma-luca,Luca ANSELMA,foaf:Person
41,reo:birke-robert-renè-maria,Robert-Renè-Maria BIRKE,foaf:Person
42,reo:mazzei-alessandro,Alessandro MAZZEI,foaf:Person
43,reo:rizzo-gianluca,Gianluca RIZZO,foaf:Person
44,reo:sulis-emilio,Emilio SULIS,foaf:Person
45,reo:informatica-department,INFORMATICA,org:Department
46,reo:vernero-fabiana,Fabiana VERNERO,foaf:Person
47,reo:baldoni-matteo,Matteo BALDONI,foaf:Person
48,reo:audrito-giorgio,Giorgio AUDRITO,foaf:Person
49,reo:baroglio-cristina,Cristina BAROGLIO,foaf:Person
50,reo:nai-roberto,ROBERTO NAI,foaf:Person
51,reo:gaeta-rossano,Rossano GAETA,foaf:Person
52,reo:schifanella-rossano,Rossano SCHIFANELLA,foaf:Person
53,reo:pernice-simone,Simone PERNICE,foaf:Person
54,reo:berardi-stefano,Stefano BERARDI,foaf:Person
55,reo:paolini-luca-luigi,Luca-Luigi PAOLINI,foaf:Person
56,reo:cena-federica,Federica CENA,foaf:Person
57,reo:esposito-roberto,Roberto ESPOSITO,foaf:Person
58,reo:botta-marco,Marco BOTTA,foaf:Person
59,reo:damiani-ferruccio,Ferruccio DAMIANI,foaf:Person
60,reo:sapino-maria-luisa,Maria-Luisa SAPINO,foaf:Person
61,reo:mauro-noemi,Noemi MAURO,foaf:Person
62,reo:gunetti-daniele,Daniele GUNETTI,foaf:Person
63,reo:roversi-luca,Luca ROVERSI,foaf:Person
64,reo:delsanto-matteo,MATTEO DELSANTO,foaf:Person
65,reo:schifanella-claudio,Claudio SCHIFANELLA,foaf:Person
66,reo:stranisci-marco-antonio,Marco-Antonio STRANISCI,foaf:Person
67,reo:pozzato-gian--luca,Gian--Luca POZZATO,foaf:Person
68,reo:colonnelli-iacopo,Iacopo COLONNELLI,foaf:Person
69,reo:antelmi-alessia,Alessia ANTELMI,foaf:Person
70,reo:rapp-amon,Amon RAPP,foaf:Person
71,reo:aldinucci-marco,Marco ALDINUCCI,foaf:Person
72,reo:cardone-felice,Felice CARDONE,foaf:Person
73,reo:cordero-francesca,Francesca CORDERO,foaf:Person
74,reo:marengo-elisa,Elisa MARENGO,foaf:Person
75,reo:ardissono-liliana,Liliana ARDISSONO,foaf:Person
76,reo:amparore-elvio-gilberto,Elvio-Gilberto AMPARORE,foaf:Person
77,reo:radicioni-daniele-paolo,Daniele-Paolo RADICIONI,foaf:Person
78,reo:polato-mirko,Mirko POLATO,foaf:Person
79,reo:magro-diego,Diego MAGRO,foaf:Person
