faiss_id,entity,label,type
0,reo:denis-caromel,Denis-Caromel,foaf:Person
1,reo:alexander-bolotov,Alexander-Bolotov,foaf:Person
2,reo:reinhard-madlener,Reinhard-Madlener,foaf:Person
3,reo:giannini-p,GIANNINI-P,foaf:Person
4,reo:francoise-baude,Francoise-Baude,foaf:Person
5,reo:roberto-micalizio,Roberto-Micalizio,foaf:Person
6,reo:marta-ferri,Marta-Ferri,foaf:Person
7,reo:carmagnola-f,CARMAGNOLA-F,foaf:Person
8,reo:bergadano-f,BERGADANO-F,foaf:Person
9,reo:cavanna-m,CAVANNA-M,foaf:Person
10,reo:giuseppe-cuzzucoli,GIUSEPPE-CUZZUCOLI,foaf:Person
11,reo:luca-anselma,Luca-Anselma,foaf:Person
12,reo:vernone-a,VERNONE-A,foaf:Person
13,reo:gian--luca-pozzato,Gian--Luca POZZATO,foaf:Person
14,reo:corinne-chaton,Corinne-Chaton,foaf:Person
15,reo:attilio-fiandrotti,Attilio FIANDROTTI,foaf:Person
16,reo:tillo-t,Tillo-T,foaf:Person
17,reo:giorgio-zoppi,Giorgio-Zoppi,foaf:Person
18,reo:daniela-vassallo,Daniela-Vassallo,foaf:Person
19,reo:goy-annamaria,Goy-Annamaria,foaf:Person
20,reo:johanna-miecznikowski,JOHANNA-MIECZNIKOWSKI,foaf:Person
21,reo:beccuti-m,Beccuti-M,foaf:Person
22,reo:leo-schrattenholzer,Leo-Schrattenholzer,foaf:Person
23,reo:elena-giachino,Elena-Giachino,foaf:Person
24,reo:bogino-m,Bogino-M,foaf:Person
25,reo:fabrizio-nunnari,FABRIZIO-NUNNARI,foaf:Person
26,reo:patrizio-dazzi,Patrizio-Dazzi,foaf:Person
27,reo:pomponiu-v,POMPONIU-V,foaf:Person
28,reo:pierfrancesco-zuccato,Pierfrancesco-Zuccato,foaf:Person
29,reo:vita-l,VITA-L,foaf:Person
30,reo:lesmo-l,LESMO-L,foaf:Person
31,reo:antonio-pizzo,Antonio-Pizzo,foaf:Person
32,reo:bazzanella-carla,BAZZANELLA-CARLA,foaf:Person
33,reo:davide-cavagnino,Davide CAVAGNINO,foaf:Person
34,reo:rossella-cancelliere,Rossella CANCELLIERE,foaf:Person
35,reo:luigi-di-caro,Luigi DI-CARO,foaf:Person
36,reo:pierre-hosteins,Pierre HOSTEINS,foaf:Person
37,reo:alessandro-mazzei,Alessandro-Mazzei,foaf:Person
38,reo:natalie-currle-linde,Natalie-Currle-Linde,foaf:Person
39,reo:andrea-mugnaini,Andrea-Mugnaini,foaf:Person
40,reo:magro-diego,Magro-Diego,foaf:Person
41,reo:massimo-marchiori,Massimo-Marchiori,foaf:Person
42,reo:montemagni-simonetta,Montemagni-Simonetta,foaf:Person
43,reo:russo-s,RUSSO-S,foaf:Person
44,reo:tran-cao-son,Tran-Cao-Son,foaf:Person
45,reo:lucenteforte-m,LUCENTEFORTE-M,foaf:Person
46,reo:gabriel-antoniu,Gabriel-Antoniu,foaf:Person
47,reo:rabellino-s,Rabellino-S,foaf:Person
48,reo:johnson-laird-p-n,JOHNSON-LAIRD-P-N,foaf:Person
49,reo:claudio-mattutino,Claudio MATTUTINO,foaf:Person
50,reo:lamba-s,Lamba-S,foaf:Person
51,reo:kemper,KEMPER,foaf:Person
52,reo:rubino-u,RUBINO-U,foaf:Person
53,reo:levi-g,LEVI-G,foaf:Person
54,reo:federico-malucelli,Federico-Malucelli,foaf:Person
55,reo:torre-i,TORRE-I,foaf:Person
56,reo:giuliana-franceschinis,GIULIANA-FRANCESCHINIS,foaf:Person
57,reo:cavallo-f,CAVALLO-F,foaf:Person
58,reo:enrico-magli,Enrico-Magli,foaf:Person
59,reo:daniele-theseider-dupré,Daniele-Theseider-Dupré,foaf:Person
60,reo:silva,SILVA,foaf:Person
61,reo:paolo-dal-checco,PAOLO DAL-CHECCO,foaf:Person
62,reo:elisa-marengo,Elisa MARENGO,foaf:Person
63,reo:mariangiola-dezani,Mariangiola-Dezani,foaf:Person
64,reo:debapriya-das,Debapriya-Das,foaf:Person
65,reo:van-bakel-steffen,VAN-BAKEL-STEFFEN,foaf:Person
66,reo:roberto-cordone,Roberto-Cordone,foaf:Person
67,reo:penna-b,PENNA-B,foaf:Person
68,reo:giulia-caron,Giulia-Caron,foaf:Person
69,reo:roberto-tron,Roberto-Tron,foaf:Person
70,reo:balossino-nello,Balossino-Nello,foaf:Person
71,reo:luca-paolini,Luca-Paolini,foaf:Person
72,reo:francesca-carmagnola,Francesca-Carmagnola,foaf:Person
73,reo:ruffo-g,RUFFO-G,foaf:Person
74,reo:dag-henning,Dag-Henning,foaf:Person
75,reo:yiwen-wang,Yiwen-Wang,foaf:Person
76,reo:roberto--aringhieri,Roberto--Aringhieri,foaf:Person
77,reo:radicioni-daniele-paolo,Radicioni-DANIELE-PAOLO,foaf:Person
78,reo:francoise-andré,Francoise-André,foaf:Person
79,reo:mathieu-jan,Mathieu-Jan,foaf:Person
80,reo:jong-k,JONG-K,foaf:Person
81,reo:christian-pérez,Christian-Pérez,foaf:Person
82,reo:donatelli-s,DONATELLI-S,foaf:Person
83,reo:marco-pironti,Marco-Pironti,foaf:Person
84,reo:roberto-ravazzolo,Roberto-Ravazzolo,foaf:Person
85,reo:piercarlo-rossi,Piercarlo-Rossi,foaf:Person
86,reo:pedro-linares,Pedro-Linares,foaf:Person
87,reo:gianluca-torta,Gianluca-Torta,foaf:Person
88,reo:christian-lengauer,Christian-Lengauer,foaf:Person
89,reo:marco--aldinucci,Marco--Aldinucci,foaf:Person
90,reo:francesco-bergadano,Francesco BERGADANO,foaf:Person
91,reo:botta-r,BOTTA-R,foaf:Person
92,reo:simi-maria,Simi-Maria,foaf:Person
93,reo:villata-serena,Villata-Serena,foaf:Person
94,reo:natalia-stash,Natalia-Stash,foaf:Person
95,reo:m-bruglieri,M-BRUGLIERI,foaf:Person
96,reo:thomas-bruckner,Thomas-Bruckner,foaf:Person
97,reo:pizzo,Pizzo,foaf:Person
98,reo:botta-m,BOTTA-M,foaf:Person
99,reo:anne-benoit,Anne-Benoit,foaf:Person
100,reo:lucenteforte-maurizio,Lucenteforte-Maurizio,foaf:Person
101,reo:meo-m,MEO-M,foaf:Person
102,reo:elena-zucca,ELENA-ZUCCA,foaf:Person
103,reo:altri,altri,foaf:Person
104,reo:anda-radulescu,ANDA-RADULESCU,foaf:Person
105,reo:goy-a,GOY-A,foaf:Person
106,reo:yoriyuki-yamagata,Yoriyuki-Yamagata,foaf:Person
107,reo:ilaria-torre,Ilaria-Torre,foaf:Person
108,reo:guido-boella,Guido-Boella,foaf:Person
109,reo:martinoglio-b,Martinoglio-B,foaf:Person
110,reo:marco--di-summa,Marco--Di-Summa,foaf:Person
111,reo:lora-aroyo,Lora-Aroyo,foaf:Person
112,reo:anselmino-m,ANSELMINO-M,foaf:Person
113,reo:peter-kilpatrick,Peter-Kilpatrick,foaf:Person
114,reo:guaraldo-p,GUARALDO-P,foaf:Person
115,reo:campos,CAMPOS,foaf:Person
116,reo:terenziani-p,TERENZIANI-P,foaf:Person
117,reo:maria-luisa-sapino,Maria-Luisa-Sapino,foaf:Person
118,reo:daniela-morale,Daniela-Morale,foaf:Person
119,reo:maurizio-bruglieri,Maurizio-Bruglieri,foaf:Person
120,reo:marco-vanneschi,Marco-Vanneschi,foaf:Person
121,reo:giallombardo-a,GIALLOMBARDO-A,foaf:Person
122,reo:torasso-p,Torasso-P,foaf:Person
123,reo:tammam-tillo,Tammam-Tillo,foaf:Person
124,reo:mauro-piccolo,Mauro-Piccolo,foaf:Person
125,reo:isella-c,Isella-C,foaf:Person
126,reo:cancelliere-c,Cancelliere-C,foaf:Person
127,reo:antonio-conejo,Antonio-Conejo,foaf:Person
128,reo:paola-giannini,Paola-Giannini,foaf:Person
129,reo:rossano-gaeta,Rossano-Gaeta,foaf:Person
130,reo:luca-console,Luca-Console,foaf:Person
131,reo:giaccone-p,GIACCONE-P,foaf:Person
132,reo:francesco-polzella,Francesco-Polzella,foaf:Person
133,reo:gai-m,GAI-M,foaf:Person
134,reo:stephan-weibelzahl,STEPHAN-WEIBELZAHL,foaf:Person
135,reo:qi-y,QI-Y,foaf:Person
136,reo:william-rosehart,William-Rosehart,foaf:Person
137,reo:meo-rosa,Meo-Rosa,foaf:Person
138,reo:samuel-vrech,Samuel-Vrech,foaf:Person
139,reo:jan-dünnweber,Jan-Dünnweber,foaf:Person
140,reo:eugenio-zimeo,Eugenio-Zimeo,foaf:Person
141,reo:alessandro-garcea,ALESSANDRO-GARCEA,foaf:Person
142,reo:erica-turin,Erica-Turin,foaf:Person
143,reo:danae-diakoulaki,Danae-Diakoulaki,foaf:Person
144,reo:corrado-zoccolo,Corrado-Zoccolo,foaf:Person
145,reo:van-der-torre-l,VAN-DER-TORRE-L,foaf:Person
146,reo:tom-weyman-jones,Tom-Weyman-Jones,foaf:Person
147,reo:viviana-bono,VIVIANA-BONO,foaf:Person
148,reo:sophia-drossopoulou,Sophia-Drossopoulou,foaf:Person
149,reo:martina-m,MARTINA-M,foaf:Person
150,reo:mike-guether,Mike-Guether,foaf:Person
151,reo:daniele-paolo-radicioni,Daniele-Paolo-Radicioni,foaf:Person
152,reo:luigi-liquori,LUIGI-LIQUORI,foaf:Person
153,reo:enrique-teruel,ENRIQUE-TERUEL,foaf:Person
154,reo:buchholz,BUCHHOLZ,foaf:Person
155,reo:jeremy-james-sproston,Jeremy-James SPROSTON,foaf:Person
156,reo:valle-andrea,Valle-Andrea,foaf:Person
157,reo:picco-g,Picco-G,foaf:Person
158,reo:massimiliano-meneghin,Massimiliano-Meneghin,foaf:Person
159,reo:vincenzo-lombardo,VINCENZO-LOMBARDO,foaf:Person
160,reo:damiani-f,DAMIANI-F,foaf:Person
161,reo:mazzeo-a,MAZZEO-A,foaf:Person
162,reo:barni-m,BARNI-M,foaf:Person
163,reo:no,no,foaf:Person
164,reo:russo-m,Russo-M,foaf:Person
165,reo:laura-potiti,Laura-Potiti,foaf:Person
166,reo:segnan-m,SEGNAN-M,foaf:Person
167,reo:emilio-tuosto,Emilio-Tuosto,foaf:Person
168,reo:torta-g,Torta-G,foaf:Person
169,reo:cristina-della-beffa,Cristina-Della-Beffa,foaf:Person
170,reo:betti-venneri,Betti-Venneri,foaf:Person
171,reo:ribaudo-m,RIBAUDO-M,foaf:Person
172,reo:liliana-ardissono,Liliana ARDISSONO,foaf:Person
173,reo:nicola-olivetti,Nicola-Olivetti,foaf:Person
174,reo:andrea-valle,Andrea-Valle,foaf:Person
175,reo:felfernig-a,FELFERNIG-A,foaf:Person
176,reo:mattia-schirosa,Mattia-Schirosa,foaf:Person
177,reo:andrew-philpott,Andrew-Philpott,foaf:Person
178,reo:schaefer-r,SCHAEFER-R,foaf:Person
179,reo:puliafito-a,PULIAFITO-A,foaf:Person
180,reo:pravato,PRAVATO,foaf:Person
181,reo:asperti,ASPERTI,foaf:Person
182,reo:pietro-torasso,PIETRO-TORASSO,foaf:Person
183,reo:kasim-selcuk-candan,KASIM-SELCUK-CANDAN,foaf:Person
184,reo:elena-baralis,Elena-Baralis,foaf:Person
185,reo:contessa-c,CONTESSA-C,foaf:Person
186,reo:sanges-r,Sanges-R,foaf:Person
187,reo:de-bortoli-m,De-Bortoli-M,foaf:Person
188,reo:gnavi-s,GNAVI-S,foaf:Person
189,reo:thierry-vidal,Thierry-Vidal,foaf:Person
190,reo:claudia-sagastizabal,Claudia-Sagastizabal,foaf:Person
191,reo:bottrighi-a,BOTTRIGHI-A,foaf:Person
192,reo:massimo-torquati,Massimo-Torquati,foaf:Person
193,reo:gena-c,GENA-C,foaf:Person
194,reo:john-fitch,John-Fitch,foaf:Person
195,reo:fulvio-ricceri,Fulvio-Ricceri,foaf:Person
196,reo:gemello-r,GEMELLO-R,foaf:Person
197,reo:magli-e,Magli-E,foaf:Person
198,reo:botta-marco,Botta-Marco,foaf:Person
199,reo:gill-dobbie,Gill-Dobbie,foaf:Person
200,reo:claudio-schifanella,Claudio SCHIFANELLA,foaf:Person
201,reo:paolo-terenziani,Paolo-Terenziani,foaf:Person
202,reo:alberto-lavelli,Alberto-LAVELLI,foaf:Person
203,reo:lo-cigno-r,LO-CIGNO-R,foaf:Person
204,reo:kees-tazelaar,Kees-Tazelaar,foaf:Person
205,reo:esposito-r,Esposito-R,foaf:Person
206,reo:cristina-baroglio,Cristina-Baroglio,foaf:Person
207,reo:alessandro-gervaso,Alessandro-Gervaso,foaf:Person
208,reo:cosman-p,COSMAN-P,foaf:Person
209,reo:saha-a,SAHA-A,foaf:Person
210,reo:petrone-g,PETRONE-G,foaf:Person
211,reo:boella-g,BOELLA-G,foaf:Person
212,reo:domenico-laforenza,Domenico-Laforenza,foaf:Person
213,reo:manuel-cacitti,Manuel-Cacitti,foaf:Person
214,reo:alberto-ceselli,Alberto-Ceselli,foaf:Person
215,reo:massimo-coppola,Massimo-Coppola,foaf:Person
216,reo:leonardi-e,LEONARDI-E,foaf:Person
217,reo:belfiore-s,BELFIORE-S,foaf:Person
218,reo:grangetto-marco,Grangetto-Marco,foaf:Person
219,reo:marco-aldinucci,Marco-Aldinucci,foaf:Person
220,reo:alessandro-basso,Alessandro-Basso,foaf:Person
221,reo:sergei-gorlatch,Sergei-Gorlatch,foaf:Person
222,reo:correndo-g,CORRENDO-G,foaf:Person
223,reo:yan-qi,YAN-QI,foaf:Person
224,reo:diego-puppin,Diego-Puppin,foaf:Person
225,reo:scanavino-b,SCANAVINO-B,foaf:Person
226,reo:andrea-toso,Andrea-Toso,foaf:Person
227,reo:ardissono-l,ARDISSONO-L,foaf:Person
228,reo:wietze-lise,Wietze-Lise,foaf:Person
229,reo:marica-de-vincenzi,MARICA-DE-VINCENZI,foaf:Person
230,reo:silvia-magini,Silvia-Magini,foaf:Person
231,reo:sergio-rabellino,Sergio-Rabellino,foaf:Person
232,reo:ciardo,CIARDO,foaf:Person
233,reo:nobuko-yoshida,Nobuko-Yoshida,foaf:Person
234,reo:daniele--catanzaro,Daniele--Catanzaro,foaf:Person
235,reo:kwon-g,KWON-G,foaf:Person
236,reo:francesca-cordero,Francesca-Cordero,foaf:Person
237,reo:calogero-ra,CALOGERO-RA,foaf:Person
238,reo:lesmo-leonardo,Lesmo-Leonardo,foaf:Person
239,reo:rossano-schifanella,Rossano SCHIFANELLA,foaf:Person
240,reo:asher-tishler,Asher-Tishler,foaf:Person
241,reo:luis-augusto-barroso,Luis-Augusto-Barroso,foaf:Person
242,reo:rossana-damiano,ROSSANA-DAMIANO,foaf:Person
243,reo:zanker-m,ZANKER-M,foaf:Person
244,reo:ienco-dino,Ienco-Dino,foaf:Person
245,reo:jan-duennwebber,Jan-Duennwebber,foaf:Person
246,reo:paolo-teti,Paolo-Teti,foaf:Person
247,reo:gaeta-r,GAETA-R,foaf:Person
248,reo:viviana-patti,Viviana PATTI,foaf:Person
249,reo:jannach-d,JANNACH-D,foaf:Person
250,reo:omar-cortassa,Omar-Cortassa,foaf:Person
251,reo:simona-ronchi-della-rocca,SIMONA-RONCHI-DELLA-ROCCA,foaf:Person
252,reo:corinna-lauth,Corinna-Lauth,foaf:Person
253,reo:damiani-e,DAMIANI-E,foaf:Person
254,reo:vladimiro-miranda,Vladimiro-Miranda,foaf:Person
255,reo:damiano-rossana,DAMIANO-Rossana,foaf:Person
256,reo:michele-rossi,Michele-Rossi,foaf:Person
257,reo:marco-comini,Marco-Comini,foaf:Person
258,reo:claudia-picardi,Claudia PICARDI,foaf:Person
259,reo:jose-cunha,Jose-Cunha,foaf:Person
260,reo:cataldi-p,CATALDI-P,foaf:Person
261,reo:giuseppe-ermondi,Giuseppe-Ermondi,foaf:Person
262,reo:susanna-donatelli,Susanna-Donatelli,foaf:Person
263,reo:gianmarco-spinatelli,Gianmarco-Spinatelli,foaf:Person
264,reo:gianfranco-balbo,Gianfranco BALBO,foaf:Person
265,reo:federica-cena,Federica-Cena,foaf:Person
266,reo:mariangiola-dezani-ciancaglini,MARIANGIOLA-DEZANI-CIANCAGLINI,foaf:Person
267,reo:fabio-tordini,Fabio-Tordini,foaf:Person
268,reo:gurkan-kumbaroglu,Gurkan-Kumbaroglu,foaf:Person
269,reo:cosi-piero,Cosi-Piero,foaf:Person
270,reo:anna-goy,Anna-Goy,foaf:Person
271,reo:ludovic-henrio,Ludovic-Henrio,foaf:Person
272,reo:stefano-rosso,Stefano-Rosso,foaf:Person
273,reo:bosco-cristina,BOSCO-CRISTINA,foaf:Person
274,reo:molino-g,MOLINO-G,foaf:Person
275,reo:luca-piovesan,Luca-Piovesan,foaf:Person
276,reo:caron-g,Caron-G,foaf:Person
277,reo:prashant-shenoy,Prashant-Shenoy,foaf:Person
278,reo:buriano-l,BURIANO-L,foaf:Person
279,reo:marino-segnan,Marino SEGNAN,foaf:Person
280,reo:saviozzi-s,SAVIOZZI-S,foaf:Person
281,reo:pierpaolo-ciullo,Pierpaolo-Ciullo,foaf:Person
282,reo:mario-coppo,MARIO-COPPO,foaf:Person
283,reo:hasan-jamil,Hasan-Jamil,foaf:Person
284,reo:lombardo-vincenzo,LOMBARDO-Vincenzo,foaf:Person
285,reo:peter--kilpatrick,Peter--Kilpatrick,foaf:Person
286,reo:michael-classen,Michael-Classen,foaf:Person
287,reo:raffaele-a-calogero,Raffaele-A-Calogero,foaf:Person
288,reo:ross-baldick,Ross-Baldick,foaf:Person
289,reo:cordero-f,CORDERO-F,foaf:Person
290,reo:felice-cardone,Felice-Cardone,foaf:Person
291,reo:beltramo-c,BELTRAMO-C,foaf:Person
