faiss_id,entity,label,type
0,reo:81181-comunitattiva--costruire-legami-per-riconoscersi-comunità-educante-inclusiva-e-resiliente,ComunitAttiva- Costruire legami per riconoscersi comunità educante inclusiva e resiliente,frapo:Project
1,reo:57455-changes---cultural-heritage-active-innovation-for-next-gensustainable-society,Changes - Cultural Heritage Active Innovation for Next-GenSustainable Society,frapo:Project
2,reo:61399-epi-sga2---european-processor-initiative,EPI SGA2 - European Processor Initiative,frapo:Project
3,reo:4805-anticipating-and-preventing-coronavirus--and-health-related-hate-speech-online,Anticipating and preventing coronavirus- and health-related hate speech online,frapo:Project
4,reo:8526-real-time-cloud-computing,Real-Time Cloud Computing,frapo:Project
5,reo:2677-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
6,reo:3029-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
7,reo:14913-pause-prevention-of-assault-under-scientific-evidence-interdisciplinari-per-contrastare-laviolenza-interpersonale,PAUSE Prevention of Assault Under Scientific Evidence interdisciplinari per contrastare laviolenza interpersonale,frapo:Project
8,reo:63543-equitable-algorithmic-decision-making-in-society,EQUITABLE ALGORITHMIC DECISION-MAKING IN SOCIETY,frapo:Project
9,reo:14671-monitoraggio-e-valorizzazione-degli-impollinatori-nella-città-metropolitana-di-torino,Monitoraggio e Valorizzazione degli Impollinatori nella città metropolitana di Torino,frapo:Project
10,reo:9049-rete-di-laboratori-per-la-valorizzazione-della-didattica-outdoor-sugli-ecosistemi-alpini-e-prealpini-piemontesi,Rete di laboratori per la valorizzazione della didattica outdoor sugli ecosistemi alpini e prealpini piemontesi,frapo:Project
11,reo:61326-equitable-algorithmic-decision-making-in-society,Equitable algorithmic decision Making In societY,frapo:Project
12,reo:49031-eumaster4hpc---european-master-for-high-performance-computing-h2020-jti-eurohpc-2020-03,EUMaster4HPC - European Master For High-Performance Computing H2020-JTI-EuroHPC-2020-03,frapo:Project
13,reo:73945-distributed-multi-sensor-systems-for-human-safety-and-health,DISTRIBUTED MULTI-SENSOR SYSTEMS FOR HUMAN SAFETY AND HEALTH,frapo:Project
14,reo:4462-real-time-deterministic-cloud-computing,Real-Time Deterministic Cloud Computing,frapo:Project
15,reo:79661-noodle,NOODLE,frapo:Project
16,reo:7767-bringing-artificial-intelligence-home-for-a-better-care-of-amyotrophic-lateral-sclerosis-and-multiple-sclerosis,BRinging Artificial INTelligencE home for a better cAre of amyotrophic lateral sclerosis and multiple SclERosis,frapo:Project
17,reo:73942-sedile-con-materiali-innovativi-leggeri-e-sostenibili,Sedile con Materiali Innovativi Leggeri e Sostenibili,frapo:Project
18,reo:6306-autonomous-public-transportation-network,Autonomous Public Transportation Network,frapo:Project
19,reo:2867-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
20,reo:2707-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
21,reo:67745-trustalert,TrustAlert,frapo:Project
22,reo:120482-sustainable-education-empowering-digital-societies,Sustainable Education Empowering Digital Societies,frapo:Project
23,reo:5625-intelligenza-artificiale-per-la-diagnosi-di-covid19-da-immagini-radiografiche,Intelligenza artificiale per la diagnosi di COVID19 da immagini radiografiche,frapo:Project
24,reo:12632-emotions-and-moral-values-in-political-language,Emotions and Moral Values in Political Language,frapo:Project
25,reo:3492-damiani-ferruccio---compagnia-di-san-paolo---bando-ex-post---anno-2018--damiani,DAMIANI Ferruccio - Compagnia di San Paolo - Bando ex-post - Anno 2018- Damiani,frapo:Project
26,reo:39364-real-time-cloud-computing,Real-Time Cloud Computing,frapo:Project
27,reo:3498-bono-viviana---compagnia-di-san-paolo---bando-ex-post---anno-2018,BONO Viviana - Compagnia di San Paolo - Bando ex-post - Anno 2018,frapo:Project
28,reo:2904-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
29,reo:4803-technological-and-human-monitoring-of-homotransphobic-hate-speech-comparingsmall-and-big-conversations-to-develop-effective-knowledge-based-counter-narratives,Technological and Human Monitoring of Homotransphobic Hate Speech comparingSmall and Big Conversations to develop Effective Knowledge-Based Counter-narratives,frapo:Project
30,reo:72559-international-cooperation-with-the-us-on-ai-research-and-datasets-for-6g,INTERNATIONAL COOPERATION WITH THE US ON AI RESEARCH AND DATASETS FOR 6G,frapo:Project
31,reo:4984-models-and-methods-for-novel-and-transdisciplinary-approaches-to-urban-mobility,MOdels and MEthods for Novel and Transdisciplinary approaches to Urban Mobility,frapo:Project
32,reo:73018-actor-model-based-infrastructure-management-continuum-aware-programming-models-and-design-patterns-for-ultra-scalable-processing-at-the-edge,Actor-model Based infRastructure mAnagement Continuum-Aware Programming models and Design patterns for Ultra-ScAlaBle pRocessing At the Edge,frapo:Project
33,reo:3003-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
34,reo:48265-optimization-under-incomplete-information,oPtimization undeR incOmplete iNformaTiOn,frapo:Project
35,reo:2745-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
36,reo:50007-workflows-elicitation-composition-modularity-and-enactment,Workflows ELicitation COmposition Modularity and Enactment,frapo:Project
37,reo:2951-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
38,reo:137061-architecting-green-edge-data-centers-and-networks-for-reduced-carbon-footprint,Architecting Green Edge Data Centers and Networks for Reduced Carbon Footprint,frapo:Project
39,reo:4586-aggregate-computing-for-resilient-urban-mobility-environments-and-networks,Aggregate Computing for resilient Urban Mobility Environments and Networks,frapo:Project
40,reo:8693-proofs-structures-and-computations,Proofs structures and computations,frapo:Project
41,reo:118621-salute-senza-confini,Salute senza confini,frapo:Project
42,reo:5054-data-anaysis-and-a-for-inclusive-education,Data anaysis and A for Inclusive Education,frapo:Project
43,reo:116961-dynamically-managed-self-cooling-hpc-data-centers,Dynamically Managed Self-Cooling HPC Data Centers,frapo:Project
44,reo:12628-languages-and-analysis-techniques-for-smart-contracts,Languages and Analysis Techniques for Smart Contracts,frapo:Project
45,reo:2598-radicioni-daniele---accordo-attuativo---tecnologie-e-metodologia-di-valutazione-di-sistemi-per-linformation-retrieval-su-basi-di-conoscenza-aziendal,RADICIONI Daniele - ACCORDO ATTUATIVO - TECNOLOGIE E METODOLOGIA DI VALUTAZIONE DI SISTEMI PER LINFORMATION RETRIEVAL SU BASI DI CONOSCENZA AZIENDAL,frapo:Project
46,reo:12886-networking-undercover-investigation-against-online-child-abuse-through-an-eu-wide-artificial-intelligence-platform,NEtworking UndercoVER Investigation against Online Child ABUSE through an EU-wide Artificial Intelligence Platform,frapo:Project
47,reo:2715-fondo-finanziamento-delle-attività-base-di-ricerca,Fondo Finanziamento delle Attività Base di Ricerca,frapo:Project
