faiss_id,entity,label,type
0,reo:100184-publicengagement,Evento di valorizzazione della ricerca,reo:PublicEngagement
1,reo:100242-publicengagement,Da quella volta è cambiato tutto,reo:PublicEngagement
2,reo:100482-publicengagement,DiUniTO canale Instagram,reo:PublicEngagement
3,reo:100487-publicengagement,DiUniTO canale Youtube,reo:PublicEngagement
4,reo:100501-publicengagement,Una nessuna centomila: le discipline dell’archeometria,reo:PublicEngagement
5,reo:100597-publicengagement,Foundation Programme,reo:PublicEngagement
6,reo:100621-publicengagement,Orient@mente,reo:PublicEngagement
7,reo:100627-publicengagement,Start@unito,reo:PublicEngagement
8,reo:100663-publicengagement,Ricordando Corrado Böhm a cento anni dalla nascita,reo:PublicEngagement
9,reo:100773-publicengagement,Laboratorio: Suggerire prodotti in modo personalizzato – sviluppiamo un recommender system in Python,reo:PublicEngagement
10,reo:100792-publicengagement,...,reo:PublicEngagement
11,reo:100821-publicengagement,Youtoo,reo:PublicEngagement
12,reo:100901-publicengagement,- I robot in corsia prima che in fabbrica- L'Ia sostituirà i lavoratori dell'ingegno-,reo:PublicEngagement
13,reo:100905-publicengagement,-Medico o robot? Vantaggi e rischi dell'applicazione dell'intelligenza artificiale alla medicina-,reo:PublicEngagement
14,reo:100920-publicengagement,Gruppo di partecipazione alla JTWIA @diunito,reo:PublicEngagement
15,reo:100938-publicengagement,LADICO Laboratori digitali transdisciplinari per la disseminazione di conoscenze e lo sviluppo di competenze di cittadinanza (conclusione),reo:PublicEngagement
16,reo:100945-publicengagement,Connessioni Educative,reo:PublicEngagement
17,reo:100957-publicengagement,Laboratorio -La valutazione formativa automatica per le STEM- (Polo STEAM - Cuneo),reo:PublicEngagement
18,reo:100961-publicengagement,Medico o robot? Vantaggi e rischi dell’applicazione dell’Intelligenza Artificiale alla medicina,reo:PublicEngagement
19,reo:100964-publicengagement,Compiti@casa,reo:PublicEngagement
20,reo:100970-publicengagement,Training online per lo sviluppo di competenze di problem solving,reo:PublicEngagement
21,reo:100980-publicengagement,Foundation Programme,reo:PublicEngagement
22,reo:100982-publicengagement,Orient@mente,reo:PublicEngagement
23,reo:100983-publicengagement,Start@unito,reo:PublicEngagement
24,reo:100985-publicengagement,Porte Aperte SUISS - Scuola Universitaria Interdipartimentale in Scienze Strategiche,reo:PublicEngagement
25,reo:100986-publicengagement,Porte Aperte SUISS - Scuola Universitaria Interdipartimentale in Scienze Strategiche,reo:PublicEngagement
26,reo:101022-publicengagement,Medico o robot? L’intelligenza artificiale tra vantaggi e rischi,reo:PublicEngagement
27,reo:101061-publicengagement,LaTeX: scrivere documenti come un pro,reo:PublicEngagement
28,reo:101111-publicengagement,Unight - Notte delle Ricercatrici e dei Ricercatori - Museo della Sindone,reo:PublicEngagement
