faiss_id,entity,label,type
0,reo:10022-marco-aldinucci,GCM:-Grid-Component-Model---reference-implementation-with-autonomic-features,https://semopenalex.org/ontology/Work
1,reo:10613-marco-aldinucci,apPlications-of-declArative-&-object-oriented-Parallel-Programming-(PAPP-2008)---part-of-the-ICCS(-International-Conference-on-Computational-Science)-Krakow-Poland.,https://semopenalex.org/ontology/Work
2,reo:10614-marco-aldinucci,RobSched’08:-International-Workshop-on-Robust-Scheduling-–-part-of-ICPADS’08-(Int.-Conf.-on-Parallel-and-Distributed-Systems)-Melbourne-Australia.,https://semopenalex.org/ontology/Work
3,reo:10615-marco-aldinucci,CoreGRID-Workshop-on-Grid-Programming-Model-Grid-and-P2P-Systems-Architecture-Grid-Systems-Tools-and-Environments-Heraklion-Crete-Greece-2007.,https://semopenalex.org/ontology/Work
4,reo:10630-marco-aldinucci,Toward-a-formal-semantics-for-autonomic-components,https://semopenalex.org/ontology/Work
5,reo:10636-marco-aldinucci,Towards-a-Spatio-Temporal-sKeleton-Model-implementation-on-top-of-SCA,https://semopenalex.org/ontology/Work
6,reo:10637-marco-aldinucci,Proceedings-of-the-programming-model-institute-technical-meeting-2008,https://semopenalex.org/ontology/Work
7,reo:10640-luca-luigi-paolini,Review-MR2968322-of-Dal-Lago-Ugo///Martini-Simone.-On-constructor-rewrite-systems-and-the-lambda-calculus.-Log.-Methods-Comput.-Sci.-8-(2012)-no.-3-3:12.,https://semopenalex.org/ontology/Work
8,reo:10665-marco-aldinucci,FastFlow:-Efficient-Parallel-Streaming-Applications-on-Multi-core,https://semopenalex.org/ontology/Work
9,reo:10667-marco-aldinucci,D.NFCF.03---Methodology-to-derive-performance-models-for-component-and-composite-components,https://semopenalex.org/ontology/Work
10,reo:10668-marco-aldinucci,D.NFCF.04---NFCF-prototype-and-early-documentation,https://semopenalex.org/ontology/Work
11,reo:10846-marco-aldinucci,apPlications-of-declArative-&-object-oriented-Parallel-Programming-(PAPP-2005)---part-of-the-ICCS(-International-Conference-on-Computational-Science)-Atlanta-USA.,https://semopenalex.org/ontology/Work
