faiss_id,entity,label,type
0,reo:41676-francesco-bergadano,Proactive-Password-Checking-with-Decision-Trees,soa:Work
1,reo:73136-bruno-giuseppe-barberis,Modelli-d’universo-e-propagazione-della-luce,soa:Work
2,reo:30571-liliana-ardissono,Intelligent-Support-to-the-Retrieval-of-Information-about-Hydric-Resources,soa:Work
3,reo:85560-rosa-meo,Member-of-the-10th-European-Conference-on-Machine-Learning-and-Principles-and-Practice-of-Knowledge-Discovery-in-Databases,soa:Work
4,reo:16683-viviana-bono,Hygienic-methods---Introducing-HygJava,soa:Work
5,reo:41638-claudia-picardi,Cooperative-Model-Based-Diagnosis-of-Web-Services,soa:Work
6,reo:25075-luca-console,On-the-computational-complexity-of-querying-bounds-on-differences-constraints,soa:Work
7,reo:56745-michele-paolo-bocca-garetto,Analysis-of-Random-Mobility-Models-with-Partial-Differential-Equations,soa:Work
8,reo:81333-viviana-patti,Context-based-Ranking-in-Folksonomies,soa:Work
9,reo:51006-claudia-picardi,Process-algebras-for-systems-diagnosis.,soa:Work
10,reo:53696-maurizio-lucenteforte,Analisi-biomedica-dell'orecchio-in-ambito-forense,soa:Work
11,reo:40884-guido-boella,The-next-EUR-Lex:-What-should-be-done-for-the-needs-of-lawyers-belonging-to-different-national-legal-systems?,soa:Work
12,reo:52450-liliana-ardissono,Enabling-Flexible-Interaction-with-Web-Services,soa:Work
13,reo:81335-elisa-marengo,Joint-Achievement-of-Services'-Personal-Goals,soa:Work
14,reo:66809-roberto-esposito,Explaining-Bagging-with-Monte-Carlo-Theory,soa:Work
15,reo:41937-liliana-ardissono,Towards-self-diagnosing-Web-Services,soa:Work
16,reo:39435-marco-botta,An-Experimental-Study-of-Phase-Transitions-in-Matching,soa:Work
17,reo:74728-marco-aldinucci,Automatic-Program-Transformation:-The-Meta-Tool-for-Skeleton-based-Languages,soa:Work
18,reo:27768-andras-horvath,Phfit:-A-general-phase-type-fitting-tool,soa:Work
19,reo:16507-marco-botta,A-Novel-Incremental-Approach-to-Association-Rule-Mining-in-Inductive-Databases,soa:Work
20,reo:85233-ruggero-gaetano-pensa,Numerical-Data-Co-clustering-via-Sum-Squared-Residue-Minimization-and-User-defined-Constraint-Satisfaction,soa:Work
21,reo:73723-viviana-bono,On-Traits-and-Types-in-a-Java-like-Setting,soa:Work
22,reo:85219-ruggero-gaetano-pensa,Using-bi-set-that-characterize-bi-partitions-as-features-for-classification:-an-application-to-microarray-data-analysis,soa:Work
23,reo:79034-matteo-sereno,On-the-use-of-stochastic-Petri-nets-in-the-analysis-of-Signal-Transduction-Pathways-for-Angiogenesis-process,soa:Work
24,reo:39436-marco-botta,An-Integrated-Framework-for-Learning-Numerical-Terms-in-FOL,soa:Work
25,reo:16699-guido-boella,A-Game-Theoretic-Approach-to-Normative-Multi-agent-Systems,soa:Work
26,reo:16554-cristina-gena,Web-design:-la-progettazione-centrata-sull'utente,soa:Work
27,reo:27682-rossano-gaeta,Accurate-approximate-analysis-of-cell-based-switch-architectures,soa:Work
28,reo:16457-cristina-baroglio,A-Personalization-Service-for-Curriculum-Planning,soa:Work
29,reo:67385-claudio-mattutino,CD_ROM-live-per-il-supporto-online-alla-didattica:-l'esperienza-di-Live!-I-Learn-@-Home,soa:Work
30,reo:75772-matteo-baldoni,Insegnare-la-matematica-con-Moodle:-uso-della-suite-Maple-all'interno-di-una-piattaforma-di-e-learning,soa:Work
31,reo:40460-maurizio-lucenteforte,DRS-compression-applied-to-MPEG-2-video-data-transmitted-over-a-satellite-channel,soa:Work
32,reo:51931-liliana-ardissono,A-plan-based-model-of-misunderstandings-in-cooperative-dialogue,soa:Work
33,reo:75009-marco-aldinucci,Towards-a-distributed-scalable-data-service-for-the-grid,soa:Work
34,reo:45689-vincenzo-lombardo,Audio-e-multimedia,soa:Work
35,reo:66730-rosa-meo,A-Novel-Distance-Based-Classifier-Built-on-Pattern-Ranking,soa:Work
36,reo:50179-daniele-paolo-radicioni,Tonal-Harmony-Analysis:-a-Supervised-Sequential-Learning-Approach,soa:Work
37,reo:16595-guido-boella,Organizations-in-Artificial-Social-Systems,soa:Work
38,reo:37974-vincenzo-lombardo,Cross-linguistic-perspectives-on-language-processing,soa:Work
39,reo:40415-andras-horvath,Modelling-a-car-safety-controller-in-road-tunnels-using-hybrid-Petri-nets,soa:Work
40,reo:75070-matteo-baldoni,How-to-Program-Organizations-and-Roles-in-the-JADE-Framework,soa:Work
41,reo:75167-marco-aldinucci,Virtual-clusters-with-no-single-point-of-failure,soa:Work
42,reo:45935-marco-grangetto,Conditional-access-to-H.264/AVC-video-with-drift-control,soa:Work
43,reo:40376-rossano-gaeta,Analysis-of-ABR-in-ATM-LANs-by-GSPN-models,soa:Work
44,reo:16573-guido-boella,Argumentation-for-Access-Control,soa:Work
45,reo:41123-luca-console,Deriving-Qualitative-Deviations-from-Matlab™-Models,soa:Work
46,reo:74994-marco-aldinucci,Components-for-high-performance-Grid-programming-in-Grid.it,soa:Work
47,reo:14368-michele-paolo-bocca-garetto,How-much-can-large-scale-video-on-demand-benefit-from-users'-cooperation?,soa:Work
