Identificativo univoco del prodotto (della versione master);ID prodotto;Handle (della versione master);Status di validazione;Titolo;Anno di pubblicazione;Data di creazione;Data Ahead of Print;Tipologia (definita da IRIS);Tipologia (collezione);Sottotipologia;Status di pubblicazione;Presenza coautori internazionali;Tutti gli autori/Curatori;Nr autori/Curatori (numero);contributors: autori/curatori di journal/serie di fascia A;Rilevanza nazionale/internazionale;Tipo di referaggio;Carattere della pubblicazione;SSD del prodotto;Lingua (codice);Rivista/Serie: ISSN;URL;DOI;Formato;codice: ISBN;Abstract;Parole chiave;brevetto: Data di deposito;Centro di ricerca;autore: ID persona (IRIS);Parole chiave - ERC (concatenazione) - autore;scopus: Nr citazioni;wos: Identificativo;scopus: Identificativo;wos: Nr citazioni;wos: affiliations;u-gov: Classificazione ausiliaria 1;wos: Valore Impact factor;Presenza Impact Factor (indicato nei metadati- manuale);wos: Valore Impact factor (riferito all'ultimo anno disponibile)
7237;7237;2318/1506203;Validazione non prevista (pubblicato);A Dependency Syntax for the Surface Structure of Sentences;1991;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"LESMO L.; V. LOMBARDO";2;;Internazionale;Esperti anonimi;;;eng;;;;;;;;;;17109;;;;;;;1 - Conferenza;;;
7536;7536;2318/1506851;Validazione non prevista (pubblicato);Experiencing and Explaining Change for Learning Functions with Cabri;2012;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"D. PAOLA; O. ROBUTTI";2;;Internazionale;Esperti anonimi;;;eng;;;10.4458/7762-08;;8861347762;;;;;17134;"SH3_11 - Social aspects of teaching and learning, curriculum studies, education and educational policies (erc_2022) ; SH3_5 - Attitudes and beliefs (erc_2022) ; SH3_7 - Kinship; diversity and identities, gender, interethnic relations (erc_2022) ; SH3_14 - Social studies of science and technology (erc_2022) ; SH3_12 - Communication and information, networks, media (erc_2022) ; PE1_1 - Logic and foundations (erc_2022)";;;;;;1 - Conferenza;;;
9861;9861;2318/59180;Validazione non prevista (pubblicato);The Implementation of ASSIST, an Environment for Parallel and Distributed Programming;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"Marco Aldinucci; Sonia Campa; Pierpaolo Ciullo; Massimo Coppola; Silvia Magini; Paolo Pesciullesi; Laura Potiti; Roberto Ravazzolo; Massimo Torquati; Marco Vanneschi; Corrado Zoccolo";11;;Internazionale;Esperti anonimi;;;eng;0302-9743;http://springerlink.metapress.com/content/23a8rd5ekr02jqk0/?p=6602750400534292bef2e332e0d74486&pi=99;10.1007/978-3-540-45209-6_100;;;We describe the implementation of ASSIST, a programming environment for parallel and distributed programs. Its coordination language is based of the parallel skeleton model, extended with new features to enhance expressiveness, parallel software reuse, software component integration and interfacing to external resources. The compilation process and the structure of the run-time support of ASSIST are discussed with respect to the issues introduced by the new characteristics, presenting an analysis of the first test results.;"ASSIST; skeleton; parallel programming; high-level language; C++; Fortran";;;24800;;22;WOS:000186049800090;2-s2.0-35048872783;12;;1 - Conferenza;0.513;;0.513
9862;9862;2318/57758;Validazione non prevista (pubblicato);ASSIST demo: a high level, high performance, portable, structured parallel programming environment at work;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"Marco Aldinucci; Sonia Campa; Pierpaolo Ciullo; Massimo Coppola; Marco Danelutto; Paolo Pesciullesi; Roberto Ravazzolo; Massimo Torquati and Marco Vanneschi; Corrado Zoccolo";10;;Internazionale;Esperti anonimi;;;eng;0302-9743;http://springerlink.metapress.com/content/23a8rd5ekr02jqk0/?p=6602750400534292bef2e332e0d74486&pi=99;10.1007/978-3-540-45209-6_176;;"9783642369483; 9783642369490";We describe the implementation of ASSIST, a programming environment for parallel and distributed programs. Its coordination language is based of the parallel skeleton model, extended with new features to enhance expressiveness, parallel software reuse, software component integration and interfacing to external resources. The compilation process and the structure of the run-time support of ASSIST are discussed with respect to the issues introduced by the new characteristics, presenting an analysis of the first test results.;"ASSIST; implementation; demo; parallel programming; high-level language; compilation; C; C++; Fortran";;;24800;;10;WOS:000186049800158;2-s2.0-35048840250;3;;1 - Conferenza;0.513;si;0.513
9863;9863;2318/59181;Validazione non prevista (pubblicato);Targeting heterogeneous architectures in ASSIST: Experimental results;2004;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"Marco Aldinucci; Sonia Campa; Massimo Coppola; Silvia Magini; Paolo Pesciullesi; Laura Potiti; Roberto Ravazzolo; Massimo Torquati; Corrado Zoccolo";9;;Internazionale;Esperti anonimi;;;eng;0302-9743;http://springerlink.metapress.com/content/pjbd7hd349h6r10x/?p=9af1b62aff934363a21a66e81ce0b990&pi=8;10.1007/978-3-540-27866-5_84;;0302-9743;We describe how the ASSIST parallel programming environment can be used to run parallel programs on collections of heterogeneous workstations and evaluate the scalability of one task-farm real application and a data-parallel benchmark, comparing the actual performance figures measured when using homogeneous and heterogeneous workstation clusters. We describe also the ASSIST approach to heterogeneous distributed shared memory and provide preliminary performance figures of the current implementation.;"structured parallel programming; heterogeneous workstation network; shared memory";;;24800;;9;WOS:000223792500084;2-s2.0-35048861536;4;;1 - Conferenza;0.513;si;0.513
9865;9865;2318/59659;Validazione non prevista (pubblicato);Dynamic reconfiguration of grid-aware applications in ASSIST;2005;;;info:eu-repo/semantics/conferenceObject;04A-Conference paper in volume;;;no;"Marco Aldinucci; Alessandro Petrocelli; Edoardo Pistoletti; Massimo Torquati; Marco Vanneschi; Luca Veraldi; Corrado Zoccolo";7;;Internazionale;Esperti anonimi;;;eng;0302-9743;http://springerlink.metapress.com/content/1jdh5lqafla5928p/?p=eb5bf47d5e274fd0b38cb86641c6c466&pi=3;10.1007/11549468_84;;;Current grid-aware applications are implemented on top of low-level libraries by developers who are experts on grid middleware architecture. This approach can hardly support the additional complexity of QoS control in real applications. We discuss a novel approach used in the ASSIST programming environment to implement/guarantee user provided QoS contracts in a transparent and effective way. Our approach is based on the implementation of automatic run-time reconfiguration of ASSIST application executions triggered by mismatch between the user provided QoS contract and the actual performance values achieved.;"structured parallel programming; grid; QoS contract; adaptive applications";;;24800;;24;WOS:000232259500084;2-s2.0-27144534907;12;;1 - Conferenza;;;0.513
9868;9868;2318/1511813;Validazione non prevista (pubblicato);A Framework for Prototyping and Reasoning about Distributed Systems;2008;;;info:eu-repo/semantics/bookPart;02A-Contributo in volume;;;si;"Marco Aldinucci; Marco Danelutto; Peter Kilpatrick";3;;Internazionale;Esperti anonimi;;;eng;0927-5452;http://www.booksonline.iospress.nl/Content/View.aspx?piid=8360;;;9781586037963;"A framework supporting fast prototyping as well as tuning of distributed applications is presented. The approach is based on the adoption of a formal model that is used to describe the orchestration of distributed applications. The formal model (Orc by Misra and Cook) can be used to support semi-formal reasoning about the applications at hand. The paper describes how the framework can be used to derive and evaluate alternative orchestrations of a well know parallel/distributed computation pattern; and shows how the same formal model can be used to support generation of prototypes of distributed applications skeletons directly from the application description.";"orc; semi-formal reasoning; orchestration; grid; distributed systems; web services";;;24800;;0;WOS:000273549500027;2-s2.0-84906492143;0;"University of Pisa; University of Pisa; Queens University Belfast";;;;
10022;10022;2318/1512052;Validazione non prevista (pubblicato);GCM: Grid Component Model - reference implementation with autonomic features;2009;;;info:eu-repo/semantics/other;07M-Software;;;no;"Marco Aldinucci; Marco Danelutto; Sonia Campa; Giorgio Zoppi; Nicola Tonellotto; Patrizio Dazzi";6;;Internazionale;;;;eng;;"http://calvados.di.unipi.it/dokuwiki/doku.php?id=aldinucnamespace:software; http://gridcomp.ercim.org/";;;;"GridCOMP provides the reference implementation of the Grid Component Model (GCM). The developed prototype takes the ProActive Parallel Suite as the starting point to provide the functional features of GCM components such as :

- a deployment framework, standardized by ETSI and providing interoperability with several grid schedulers and middleware,
- primitive and composite components supporting collective communications. 

The GCM implementation targets all software architects in need of a comprehensive framework to express at design time the parallelisms and the distribution of an application. Therefore, the architecture of the system itself captures the parallel/distributed aspects, acting as a powerful specification and documentation.

The GCM provides functional concerns, but also non-functional concerns by means of (hierarchical-) autonomic managers within behavioural skeletons. With Behavioural skeletons, programmers just provide contracts to be satisfied and instantiate existing GCM composites to get completely functional applications with non functional concern auto-tuning, and, thus, avoid high programming efforts to programmers. Behaviorual skeletons have been already demonstrated to be able to take care of performance non functional concerns. Preliminary results have been shown that demonstrated how they can be used to handle other non functional concerns, including fault tolerance and security issues.";"behavioral skeleton; component; autonomic computing; GCM";;;24800;;;;;;;Sì;;;
10613;10613;2318/1512794;Validazione non prevista (pubblicato);apPlications of declArative & object-oriented Parallel Programming (PAPP 2008) - part of the ICCS( International Conference on Computational Science), Krakow, Poland.;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;no;Marco Aldinucci;1;;Internazionale;;;;eng;;http://www.iccs-meeting.org/iccs2008/;10.1007/978-3-540-69384-0;;;"Computational Science applications are more and more complex to develop and require more and more computing power. Parallel and grid computing are solutions to the increasing need for computing power. High level languages offer a high degree of abstraction which ease the development of complex systems. Moreover, being based on formal semantics, it is possible to certify the correctness of critical parts of the applications.
Algorithmic skeletons, parallel extensions of functional languages such as Haskell and ML, parallel logic and constraint programming, parallel execution of declarative programs such as SQL queries, genericity and meta-programming in object-oriented languages, etc. have produced methods and tools that improve the price/performance ratio of parallel software, and broaden the range of target applications.
The PAPP workshop focuses on practical aspects of high-level parallel programming: design, implementation and optimization of high-level programming languages, libraries, middlewares and tools (performance predictors working on high-level parallel/grid source code, visualisations of abstract behaviour, automatic hotspot detectors, high-level GRID resource managers, compilers, automatic generators, etc.), applications in all fields of computational science, benchmarks and experiments. Research on high-level grid programming is particularly relevant as well as domain specific parallel software.
The aim of all these languages and tools is to improve and ease the development of applications. Thus the Fifth PAPP workshop focuses on applications.
The PAPP workshop is aimed both at researchers involved in the development of high level approaches for parallel and grid computing and computational science researchers who are potential users of these languages and tools.
http://f.loulergue.free.fr/PAPP2008/index.html";"Parallel computing; skeletons; functional programming.";;;24800;;;;;;;;;;
10614;10614;2318/1512795;Validazione non prevista (pubblicato);RobSched’08: International Workshop on Robust Scheduling – part of ICPADS’08 (Int. Conf. on Parallel and Distributed Systems), Melbourne, Australia.;2008;;;info:eu-repo/semantics/other;07Z-Altro;;;no;Marco Aldinucci;1;;Internazionale;;;;eng;;http://graal.ens-lyon.fr/~abenoit/conf/robsched08.html;;;;"Grid computing platforms and components are subject to a great variability. For instance, CPU speeds and link bandwidths are expected to change over time, as the execution proceeds, and this evolution is likely to take the form of abrupt changes followed by epochs of relative stability. Also, processors and network links may fail and then be repaired during execution.

Mapping applications onto parallel platforms is a challenging problem, that becomes even more difficult when platforms are heterogeneous, and subject to modifications and failures. Accounting for the dynamic nature of platform parameters is a key component for the design of robust scheduling algorithms.

This workshop aims at bringing together researchers working in the areas of scheduling, performance evaluation and fault tolerance to share their experiences and latest research results on these hot topics. We welcome submission of original, unpublished papers, as well as work-in-progress contributions, related to these research areas.
Topics

Topics of interest for the workshop include but are not limited to:

    * Scheduling algorithms for heterogeneous platforms
    * Performance models
    * Models of platform/application failures
    * Fault tolerance issues
    * Resource discovery and management
    * Task and communication scheduling
    * Task coordination and workflow
    * Job scheduling
    * Stochastic scheduling
    * Scheduling applications for clusters and grids";"grid; scheduling; fault tolerance; perfomance model";;;24800;;;;;;;;;;
